subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 episode_remembered	 OnsetEnd
AG	 encoding	 1	 1	 0	 1	 0	 high heels	 8	 1	 8	 	 0	 0	 5.638666	 decorate	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 63.403738	 69.688703	 72.526284	 78.171527	 	 	 	 	 	 	 
AG	 encoding	 1	 2	 0	 2	 0	 shrimp	 14	 1	 4	 	 0	 0	 6.588733	 catapult	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 63.403738	 79.336679	 82.368130	 88.962521	 	 	 	 	 	 	 
AG	 encoding	 1	 3	 0	 3	 0	 antelope	 1	 2	 3	 	 0	 0	 3.364939	 pick	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 63.403738	 89.801661	 92.583839	 95.954054	 	 	 	 	 	 	 
AG	 encoding	 1	 4	 0	 4	 0	 gamepad	 5	 2	 6	 	 0	 0	 4.754449	 polish	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 63.403738	 97.539400	 100.626223	 105.386031	 	 	 	 	 	 	 
AG	 encoding	 1	 5	 0	 5	 0	 phone	 11	 1	 6	 	 0	 0	 0.000000	 chain	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 63.403738	 106.965916	 110.426566	 105.386031	 	 	 	 	 	 	 
AG	 encoding	 1	 6	 0	 6	 0	 corn	 6	 2	 7	 	 0	 0	 0.000000	 drill	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 63.403738	 118.316675	 121.098975	 105.386031	 	 	 	 	 	 	 
AG	 encoding	 1	 7	 0	 7	 0	 pidgeon	 13	 1	 2	 	 0	 0	 0.000000	 harm	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 63.403738	 129.528844	 132.698818	 105.386031	 	 	 	 	 	 	 
AG	 encoding	 1	 8	 0	 8	 0	 duck	 3	 1	 2	 	 0	 0	 0.000000	 glide	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 63.403738	 140.727374	 143.468121	 105.386031	 	 	 	 	 	 	 
AG	 retrieval	 1	 0	 1	 8	 1	 corn	 6	 2	 7	 church	 6	 3	 0.000000	 drill	 5.223505	 perceptual	 0.000000	 1.835386	 30	 1.000000	 	 	 	 	 209.801795	 225.635997	 230.865829	 231.408124	 233.249607	 1.000000	 
AG	 retrieval	 1	 0	 2	 8	 2	 gamepad	 5	 2	 6	 greenhouse	 14	 3	 0.000000	 polish	 1.897737	 semantic_animated	 1.000000	 1.082545	 30	 1.000000	 	 	 	 	 209.801795	 234.273589	 236.171402	 236.792875	 237.880938	 1.000000	 
AG	 retrieval	 1	 0	 3	 8	 3	 pidgeon	 13	 1	 2	 japanese_living	 18	 4	 0.000000	 harm	 4.390500	 semantic_animated	 1.000000	 1.356365	 30	 1.000000	 	 	 	 	 209.801795	 238.716957	 243.112681	 243.630996	 244.992701	 1.000000	 
