subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
CEWD, encoding,1,1,0,1,0, octopus,8,1,4, ,0,0,2.436585, glide,0, NO,2,0, NO,2,0,0,0,22.246326,27.080904,29.98654,32.429564, , , , , , , , , 
CEWD, encoding,1,2,0,2,0, jeans,9,2,8, ,0,0,3.414731, trap,0, NO,2,0, NO,2,0,0,0,22.246326,34.025277,37.104298,40.524639, , , , , , , , , 
CEWD, encoding,1,3,0,3,0, coffee maker,3,2,6, ,0,0,5.739842, launch,0, NO,2,0, NO,2,0,0,0,22.246326,41.71616,44.515086,50.260236, , , , , , , , , 
CEWD, encoding,1,4,0,4,0, rhinoceros,13,2,3, ,0,0,4.127177, join,0, NO,2,0, NO,2,0,0,0,22.246326,51.16613,54.59169,58.724142, , , , , , , , , 
CEWD, encoding,1,5,0,5,0, ostrich,7,1,2, ,0,0,4.735043, warm,0, NO,2,0, NO,2,0,0,0,22.246326,59.390145,62.455731,67.196085, , , , , , , , , 
CEWD, encoding,1,6,0,6,0, aubergine,3,1,7, ,0,0,5.882232, reduce,0, NO,2,0, NO,2,0,0,0,22.246326,68.173708,71.692599,77.580035, , , , , , , , , 
CEWD, encoding,1,7,0,7,0, piranha,9,1,4, ,0,0,6.045494, jam,0, NO,2,0, NO,2,0,0,0,22.246326,79.063451,81.649133,87.699876, , , , , , , , , 
CEWD, encoding,1,8,0,8,0, tie,16,1,8, ,0,0,6.309899, browse,0, NO,2,0, NO,2,0,0,0,22.246326,88.846743,91.472611,97.787793, , , , , , , , , 
CEWD, retrieval,1,0,1,8,1, octopus,8,1,4, waterfall,31,1,0, glide,1.825667, perceptual,1,1.344781, semantic_animated,1,0.598722,33,1, , , , ,146.456221,151.332319,153.165398,156.717174,158.068056,158.623176,159.228017,1, 
CEWD, retrieval,1,0,2,8,2, rhinoceros,13,2,3, prison,27,3,0, join,2.865817, perceptual,0,1.107916, semantic_animated,1,0.703199,33,1, , , , ,146.456221,160.316069,163.187347,166.713901,167.827526,168.366605,169.075294,1, 
CEWD, retrieval,1,0,3,8,3, coffee maker,3,2,6, bedroom_girly,5,4,0, launch,1.205289, perceptual,1,1.049446, semantic_animated,1,0.634133,33,1, , , , ,146.456221,170.792507,172.003148,175.524342,176.579092,177.123604,177.76303,1, 
CEWD, retrieval,1,0,4,8,4, aubergine,3,1,7, dune,10,1,0, reduce,1.895915, perceptual,0,2.350999, semantic_animated,1,1.186795,33,1, , , , ,146.456221,178.829792,180.730987,184.254641,186.610975,187.146909,188.338957,1, 
CEWD, retrieval,1,0,5,8,5, jeans,9,2,8, strange_field,27,1,0, trap,3.152732, perceptual,1,2.637558, semantic_animated,1,0.611895,33,1, , , , ,146.456221,189.412892,192.570941,196.103971,198.746873,199.289618,199.906805,1, 
CEWD, retrieval,1,0,6,8,6, piranha,9,1,4, temple_indian,27,2,0, jam,2.969965, semantic_animated,1,1.385451, perceptual,1,1.404657,33,1, , , , ,146.456221,201.075512,204.050836,207.580009,208.970837,209.512758,210.922714,1, 
CEWD, retrieval,1,0,7,8,7, tie,16,1,8, pool_room,28,4,0, browse,1.440227, perceptual,1,1.748434, semantic_animated,1,0.983902,33,1, , , , ,146.456221,211.805217,213.25069,216.776936,218.530648,219.069459,220.058642,1, 
CEWD, retrieval,1,0,8,8,8, ostrich,7,1,2, vault_bank,32,3,0, warm,3.517905, perceptual,1,2.522972, semantic_animated,1,0.54524,33,1, , , , ,146.456221,221.415441,224.938613,228.466243,230.994556,231.531969,232.082507,1, 
CEWD, encoding,2,1,0,9,8, mushrooms,11,1,7, ,0,0,3.579549, bury,0, NO,2,0, NO,2,0,0,0,236.897054,243.887846,247.073479,250.658598, , , , , , , , , 
CEWD, encoding,2,2,0,10,8, ant,1,2,1, ,0,0,4.059584, tie,0, NO,2,0, NO,2,0,0,0,236.897054,251.618506,255.017463,259.082257, , , , , , , , , 
CEWD, encoding,2,3,0,11,8, remote control,14,1,6, ,0,0,3.974241, melt,0, NO,2,0, NO,2,0,0,0,236.897054,260.108958,262.934735,266.914243, , , , , , , , , 
CEWD, encoding,2,4,0,12,8, kangaroo,10,2,3, ,0,0,3.494152, knock,0, NO,2,0, NO,2,0,0,0,236.897054,267.959715,271.158653,274.658129, , , , , , , , , 
CEWD, encoding,2,5,0,13,8, lemon,8,2,5, ,0,0,4.491476, boot,0, NO,2,0, NO,2,0,0,0,236.897054,276.263644,279.249242,283.746034, , , , , , , , , 
CEWD, encoding,2,6,0,14,8, shark,13,2,4, ,0,0,5.011736, peek,0, NO,2,0, NO,2,0,0,0,236.897054,284.847365,287.67296,292.689983, , , , , , , , , 
CEWD, encoding,2,7,0,15,8, watermelon,16,2,5, ,0,0,4.332146, pump,0, NO,2,0, NO,2,0,0,0,236.897054,294.03093,297.256468,301.59386, , , , , , , , , 
CEWD, encoding,2,8,0,16,8, seal,11,2,4, ,0,0,3.873564, chop,0, NO,2,0, NO,2,0,0,0,236.897054,302.65471,305.906915,309.78592, , , , , , , , , 
CEWD, retrieval,2,0,1,16,9, shark,13,2,4, myst,20,1,0, peek,4.447058, semantic_animated,1,1.367108, perceptual,1,1.335673,34,0.970588, , , , ,359.502562,363.060994,367.513269,371.044846,372.417198,372.964202,374.305165,1, 
CEWD, retrieval,2,0,2,16,10, seal,11,2,4, kid_bedroom,19,4,0, chop,1.395094, semantic_animated,1,1.703366, perceptual,1,1.282818,34,0.970588, , , , ,359.502562,375.616746,377.017146,380.548438,382.25712,382.800961,384.089153,1, 
CEWD, retrieval,2,0,3,16,11, watermelon,16,2,5, desktop_house,10,4,0, pump,1.323704, semantic_animated,1,1.399926, perceptual,1,0.989884,34,0.970588, , , , ,359.502562,385.320133,386.649058,390.171849,391.577082,392.117844,393.112989,1, 
CEWD, retrieval,2,0,4,16,12, kangaroo,10,2,3, industry_texas,14,2,0, knock,10.961079, semantic_animated,3,1.208625, perceptual,3,0.353272,34,0.970588, , , , ,359.502562,394.050497,405.016864,408.538955,409.752887,410.298281,410.656815,0, 
CEWD, retrieval,2,0,5,16,13, mushrooms,11,1,7, old_street,19,2,0, bury,1.044391, perceptual,1,0.968465, semantic_animated,1,0.657108,34,0.970588, , , , ,359.502562,411.791112,412.8408,416.363,417.336806,417.882427,418.544889,1, 
CEWD, retrieval,2,0,6,16,14, lemon,8,2,5, storm,26,1,0, boot,2.206822, perceptual,1,1.366103, semantic_animated,1,0.468089,34,0.970588, , , , ,359.502562,419.348647,421.560724,425.093269,426.46471,426.999321,427.4727,1, 
CEWD, retrieval,2,0,7,16,15, remote control,14,1,6, barcelona,3,2,0, melt,1.09513, perceptual,1,1.461922, semantic_animated,1,0.537309,34,0.970588, , , , ,359.502562,428.452217,429.552641,433.077434,434.544663,435.090027,435.632668,1, 
CEWD, retrieval,2,0,8,16,16, ant,1,2,1, dif_river,9,1,0, tie,2.289716, semantic_animated,1,1.625, perceptual,1,1.335064,34,0.970588, , , , ,359.502562,436.489541,438.784567,442.314216,443.944561,444.500174,445.840531,1, 
CEWD, encoding,3,1,0,17,16, dolphin,3,1,4, ,0,0,3.700364, lay,0, NO,2,0, NO,2,0,0,0,450.332521,457.655748,460.614711,464.320333, , , , , , , , , 
CEWD, encoding,3,2,0,18,16, toucan,14,2,2, ,0,0,4.463174, revolve,0, NO,2,0, NO,2,0,0,0,450.332521,465.892938,469.171756,473.640251, , , , , , , , , 
CEWD, encoding,3,3,0,19,16, pomegranate,14,2,5, ,0,0,3.972743, tear,0, NO,2,0, NO,2,0,0,0,450.332521,474.903256,477.982136,481.960187, , , , , , , , , 
CEWD, encoding,3,4,0,20,16, bumble bee,3,1,1, ,0,0,4.556711, chain,0, NO,2,0, NO,2,0,0,0,450.332521,482.967193,485.926127,490.48809, , , , , , , , , 
CEWD, encoding,3,5,0,21,16, couliflower,7,1,7, ,0,0,4.612794, pull,0, NO,2,0, NO,2,0,0,0,450.332521,491.684168,494.6699,499.288005, , , , , , , , , 
CEWD, encoding,3,6,0,22,16, hen,6,1,2, ,0,0,6.311819, flash,0, NO,2,0, NO,2,0,0,0,450.332521,500.534514,503.906824,510.223891, , , , , , , , , 
CEWD, encoding,3,7,0,23,16, worm,16,1,1, ,0,0,4.504795, fit,0, NO,2,0, NO,2,0,0,0,450.332521,511.677506,514.769786,519.279847, , , , , , , , , 
CEWD, encoding,3,8,0,24,16, pullover,10,1,8, ,0,0,6.299436, connect,0, NO,2,0, NO,2,0,0,0,450.332521,520.261199,523.046986,529.351707, , , , , , , , , 
CEWD, retrieval,3,0,1,24,17, toucan,14,2,2, woodsmill,32,2,0, revolve,2.144973, semantic_animated,1,1.09085, perceptual,1,0.947397,38,0.947368, , , , ,577.242539,580.520954,582.671279,586.199049,587.295216,587.838497,588.791181,1, 
CEWD, retrieval,3,0,2,24,18, pullover,10,1,8, costarica,9,2,0, connect,1.172247, perceptual,1,0.955087, semantic_animated,1,1.728906,38,0.947368, , , , ,577.242539,590.117649,591.295193,594.822737,595.783086,596.328862,598.063061,1, 
CEWD, retrieval,3,0,3,24,19, hen,6,1,2, bedroom_baby,3,4,0, flash,3.934997, semantic_animated,1,1.110884, perceptual,1,0.690023,38,0.947368, , , , ,577.242539,598.994721,602.935023,606.458787,607.575004,608.111656,608.806962,1, 
CEWD, retrieval,3,0,4,24,20, dolphin,3,1,4, candy_shop,4,3,0, lay,1.173477, perceptual,1,1.228323, semantic_animated,1,0.495719,38,0.947368, , , , ,577.242539,610.284254,611.462939,614.989306,616.222894,616.761921,617.262859,1, 
CEWD, retrieval,3,0,5,24,21, bumble bee,3,1,1, natural_night,21,1,0, chain,3.914795, perceptual,1,1.272016, semantic_animated,1,0.763384,38,0.947368, , , , ,577.242539,618.654728,622.574864,626.105477,627.382772,627.918198,628.686846,1, 
CEWD, retrieval,3,0,6,24,22, couliflower,7,1,7, two_bed,31,4,0, pull,2.035797, semantic_animated,1,1.728324, perceptual,1,0.977066,38,0.947368, , , , ,577.242539,629.597727,631.638834,635.16906,636.902679,637.448314,638.430686,1, 
CEWD, retrieval,3,0,7,24,23, worm,16,1,1, town_riff,28,2,0, fit,15.489417, semantic_animated,3,0.845131, perceptual,3,0.42709,38,0.947368, , , , ,577.242539,639.327803,654.822585,658.348045,659.198453,659.734148,660.166476,0, 
CEWD, retrieval,3,0,8,24,24, pomegranate,14,2,5, amsterdam,2,2,0, tear,9.091536, perceptual,3,0.493139, semantic_animated,3,0.229415,38,0.947368, , , , ,577.242539,661.693533,670.79037,674.315888,674.814304,675.355646,675.590324,0, 
CEWD, encoding,4,1,0,25,24, microphone,10,1,6, ,0,0,3.220079, fall,0, NO,2,0, NO,2,0,0,0,736.970022,741.253389,744.412325,747.637664, , , , , , , , , 
CEWD, encoding,4,2,0,26,24, duck,3,2,2, ,0,0,3.489099, pat,0, NO,2,0, NO,2,0,0,0,736.970022,748.62426,751.50323,754.997576, , , , , , , , , 
CEWD, encoding,4,3,0,27,24, starfish02,15,2,4, ,0,0,3.918259, touch,0, NO,2,0, NO,2,0,0,0,736.970022,755.981768,759.233993,763.157471, , , , , , , , , 
CEWD, encoding,4,4,0,28,24, hat,7,2,8, ,0,0,5.000633, draw,0, NO,2,0, NO,2,0,0,0,736.970022,763.925768,766.511536,771.517422, , , , , , , , , 
CEWD, encoding,4,5,0,29,24, wolf,16,1,3, ,0,0,3.827742, decorate,0, NO,2,0, NO,2,0,0,0,736.970022,772.389562,775.908366,779.741393, , , , , , , , , 
CEWD, encoding,4,6,0,30,24, grapes,6,1,5, ,0,0,3.555598, fade,0, NO,2,0, NO,2,0,0,0,736.970022,781.053222,783.772396,787.33326, , , , , , , , , 
CEWD, encoding,4,7,0,31,24, calculator,1,2,6, ,0,0,4.280825, scratch,0, NO,2,0, NO,2,0,0,0,736.970022,788.637337,791.58308,795.869189, , , , , , , , , 
CEWD, encoding,4,8,0,32,24, coconut,5,1,5, ,0,0,4.107568, catapult,0, NO,2,0, NO,2,0,0,0,736.970022,796.887916,799.900272,804.013162, , , , , , , , , 
CEWD, retrieval,4,0,1,32,25, starfish02,15,2,4, budapest,5,2,0, touch,1.212509, semantic_animated,1,1.347301, perceptual,1,1.182642,37,0.945946, , , , ,848.617546,851.322842,852.540701,856.068002,857.420662,857.960658,859.14865,1, 
CEWD, retrieval,4,0,2,32,26, duck,3,2,2, grocery,15,3,0, pat,1.615455, perceptual,1,1.678332, semantic_animated,1,0.676578,37,0.945946, , , , ,848.617546,860.319818,861.940575,865.464886,867.148537,867.690662,868.372502,1, 
CEWD, retrieval,4,0,3,32,27, microphone,10,1,6, lake_,18,1,0, fall,8.77051, semantic_animated,3,0.955993, perceptual,3,0.737809,37,0.945946, , , , ,848.617546,869.996654,878.772477,882.299065,883.260391,883.805234,884.548374,0, 
CEWD, retrieval,4,0,4,32,28, hat,7,2,8, coffee_shop,9,3,0, draw,2.231729, semantic_animated,1,1.129652, perceptual,1,0.954276,37,0.945946, , , , ,848.617546,885.511294,887.748322,891.269366,892.404281,892.948794,893.908285,1, 
CEWD, retrieval,4,0,5,32,29, wolf,16,1,3, library,20,3,0, decorate,2.90431, perceptual,1,0.81037, semantic_animated,1,0.63486,37,0.945946, , , , ,848.617546,895.414705,898.324218,901.852582,902.668193,903.212007,903.852162,1, 
CEWD, retrieval,4,0,6,32,30, grapes,6,1,5, shooting_room,29,3,0, fade,2.358059, semantic_animated,1,0.674793, perceptual,1,0.768495,37,0.945946, , , , ,848.617546,905.344772,907.708114,911.236024,911.916088,912.462315,913.236084,1, 
CEWD, retrieval,4,0,7,32,31, calculator,1,2,6, fish_market,13,3,0, scratch,1.705314, perceptual,1,1.091121, semantic_animated,1,0.675671,37,0.945946, , , , ,848.617546,915.021446,916.732042,920.25963,921.356001,921.899027,922.580037,1, 
CEWD, retrieval,4,0,8,32,32, coconut,5,1,5, retro_living,29,4,0, catapult,1.422917, semantic_animated,1,1.224594, perceptual,1,0.771876,37,0.945946, , , , ,848.617546,923.751837,925.179948,928.710043,929.93994,930.482787,931.259935,1, 
CEWD, encoding,5,1,0,33,32, ladybug,10,1,1, ,0,0,2.952142, combine,0, NO,2,0, NO,2,0,0,0,936.567729,949.209885,952.102253,955.059707, , , , , , , , , 
CEWD, encoding,5,2,0,34,32, horse,9,2,3, ,0,0,3.445014, hammer,0, NO,2,0, NO,2,0,0,0,936.567729,956.274228,958.913296,962.363611, , , , , , , , , 
CEWD, encoding,5,3,0,35,32, beetle,2,2,1, ,0,0,4.500843, wrap,0, NO,2,0, NO,2,0,0,0,936.567729,963.69835,966.457414,970.963565, , , , , , , , , 
CEWD, encoding,5,4,0,36,32, colibri,2,2,2, ,0,0,5.658411, push,0, NO,2,0, NO,2,0,0,0,936.567729,972.042229,975.107836,980.771486, , , , , , , , , 
CEWD, encoding,5,5,0,37,32, mantaray,7,1,4, ,0,0,3.858891, paint,0, NO,2,0, NO,2,0,0,0,936.567729,981.532351,984.971166,988.835575, , , , , , , , , 
CEWD, encoding,5,6,0,38,32, camera,2,1,6, ,0,0,5.170739, center,0, NO,2,0, NO,2,0,0,0,936.567729,989.796157,992.595269,997.771288, , , , , , , , , 
CEWD, encoding,5,7,0,39,32, apricot,2,1,5, ,0,0,4.067045, dance,0, NO,2,0, NO,2,0,0,0,936.567729,998.753243,1001.778855,1005.851232, , , , , , , , , 
CEWD, encoding,5,8,0,40,32, football sneaker,4,2,8, ,0,0,4.779214, spray,0, NO,2,0, NO,2,0,0,0,936.567729,1007.243677,1010.162606,1014.947153, , , , , , , , , 
CEWD, retrieval,5,0,1,40,33, horse,9,2,3, cool_room,8,4,0, hammer,1.585946, perceptual,1,1.30766, semantic_animated,1,0.454882,37,0.945946, , , , ,1060.412808,1063.091463,1064.68265,1068.209686,1069.522694,1070.062486,1070.522647,1, 
CEWD, retrieval,5,0,2,40,34, mantaray,7,1,4, wardrobe,32,4,0, paint,1.052859, semantic_animated,1,0.76375, perceptual,1,0.777432,37,0.945946, , , , ,1060.412808,1071.96846,1073.026586,1076.553524,1077.322534,1077.859853,1078.64257,1, 
CEWD, retrieval,5,0,3,40,35, colibri,2,2,2, iceberg,16,1,0, push,1.223683, semantic_animated,1,1.065143, perceptual,1,0.460343,37,0.945946, , , , ,1060.412808,1080.285602,1081.5145,1085.044013,1086.114427,1086.656782,1087.122498,1, 
CEWD, retrieval,5,0,4,40,36, ladybug,10,1,1, destroyed_living,11,4,0, combine,1.924751, semantic_animated,1,1.057177, perceptual,1,0.42575,37,0.945946, , , , ,1060.412808,1088.17636,1090.106449,1093.627885,1094.690357,1095.227306,1095.658423,1, 
CEWD, retrieval,5,0,5,40,37, football sneaker,4,2,8, dirty_industrial_area,10,2,0, spray,1.434396, perceptual,1,0.966822, semantic_animated,1,0.556562,37,0.945946, , , , ,1060.412808,1097.346674,1098.786338,1102.318181,1103.290269,1103.824405,1104.386327,1, 
CEWD, retrieval,5,0,6,40,38, apricot,2,1,5, inside_forest,17,1,0, dance,1.426732, perceptual,1,1.140248, semantic_animated,1,0.71952,37,0.945946, , , , ,1060.412808,1106.130206,1107.562256,1111.08865,1112.234213,1112.781392,1113.506196,1, 
CEWD, retrieval,5,0,7,40,39, beetle,2,2,1, hairdresser,17,3,0, wrap,1.504141, perceptual,1,2.457933, semantic_animated,1,0.54691,37,0.945946, , , , ,1060.412808,1114.860716,1116.370185,1119.898875,1122.362084,1122.897899,1123.450111,1, 
CEWD, retrieval,5,0,8,40,40, camera,2,1,6, home_office,14,4,0, center,1.550211, semantic_animated,1,1.519904, perceptual,1,0.573971,37,0.945946, , , , ,1060.412808,1125.150565,1126.706161,1130.228856,1131.754063,1132.294766,1132.874028,1, 
CEWD, encoding,6,1,0,41,40, camel,5,2,3, ,0,0,1.999978, stroke,0, NO,2,0, NO,2,0,0,0,1136.715612,1150.248769,1152.781144,1154.781145, , , , , , , , , 
CEWD, encoding,6,2,0,42,40, cucumber,8,2,7, ,0,0,3.299728, give,0, NO,2,0, NO,2,0,0,0,1136.715612,1155.513675,1158.112823,1161.417744, , , , , , , , , 
CEWD, encoding,6,3,0,43,40, eagle,4,1,2, ,0,0,2.965907, volley,0, NO,2,0, NO,2,0,0,0,1136.715612,1162.257982,1164.910483,1167.88167, , , , , , , , , 
CEWD, encoding,6,4,0,44,40, scarf,11,1,8, ,0,0,3.027018, splash,0, NO,2,0, NO,2,0,0,0,1136.715612,1169.135692,1172.361332,1175.393671, , , , , , , , , 
CEWD, encoding,6,5,0,45,40, carrot,5,2,7, ,0,0,4.005407, deposit,0, NO,2,0, NO,2,0,0,0,1136.715612,1176.080044,1179.558869,1183.569558, , , , , , , , , 
CEWD, encoding,6,6,0,46,40, bear,2,1,3, ,0,0,2.7602, dig,0, NO,2,0, NO,2,0,0,0,1136.715612,1184.876983,1188.115954,1190.881455, , , , , , , , , 
CEWD, encoding,6,7,0,47,40, strawberry,15,2,5, ,0,0,5.431726, include,0, NO,2,0, NO,2,0,0,0,1136.715612,1191.874609,1195.060353,1200.497363, , , , , , , , , 
CEWD, encoding,6,8,0,48,40, dragonfly,7,1,1, ,0,0,4.45102, walk,0, NO,2,0, NO,2,0,0,0,1136.715612,1201.511437,1204.936973,1209.393282, , , , , , , , , 
CEWD, retrieval,6,0,1,48,41, eagle,4,1,2, snow_night,25,2,0, volley,2.654959, semantic_animated,1,1.038412, perceptual,1,0.756226,38,0.947368, , , , ,1254.827768,1257.45254,1260.112804,1263.637103,1264.680806,1265.223235,1265.984778,1, 
CEWD, retrieval,6,0,2,48,42, camel,5,2,3, mountain_landscape,19,1,0, stroke,0.962156, semantic_animated,1,2.086399, perceptual,1,0.580588,38,0.947368, , , , ,1254.827768,1267.369259,1268.336705,1271.860968,1273.952666,1274.486815,1275.072878,1, 
CEWD, retrieval,6,0,3,48,43, bear,2,1,3, beach,2,1,0, dig,0.919712, semantic_animated,1,1.387859, perceptual,1,0.751228,38,0.947368, , , , ,1254.827768,1276.019679,1276.944638,1280.471479,1281.864575,1282.404073,1283.160612,1, 
CEWD, retrieval,6,0,4,48,44, dragonfly,7,1,1, casino,5,3,0, walk,1.64514, perceptual,1,0.865453, semantic_animated,1,0.524658,38,0.947368, , , , ,1254.827768,1284.310213,1285.960542,1289.481793,1290.352515,1290.894557,1291.424543,1, 
CEWD, retrieval,6,0,5,48,45, carrot,5,2,7, cherry_field,5,1,0, deposit,1.538308, semantic_animated,1,1.465404, perceptual,1,3.188601,38,0.947368, , , , ,1254.827768,1292.240873,1293.78453,1297.305796,1298.776416,1299.318503,1302.512443,1, 
CEWD, retrieval,6,0,6,48,46, cucumber,8,2,7, operating_room,22,3,0, give,2.310095, semantic_animated,1,1.144099, perceptual,1,0.739307,38,0.947368, , , , ,1254.827768,1303.717,1306.032364,1309.554931,1310.704373,1311.247711,1311.99244,1, 
CEWD, retrieval,6,0,7,48,47, strawberry,15,2,5, laundry,19,3,0, include,1.889331, perceptual,1,1.160408, semantic_animated,1,0.502234,38,0.947368, , , , ,1254.827768,1313.153712,1315.04831,1318.578644,1319.74433,1320.284702,1320.792328,1, 
CEWD, retrieval,6,0,8,48,48, scarf,11,1,8, fall,11,1,0, splash,0.796077, semantic_animated,1,2.64029, perceptual,1,0.558711,38,0.947368, , , , ,1254.827768,1322.030827,1322.832221,1326.362611,1329.008162,1329.5482,1330.112134,1, 
CEWD, encoding,7,1,0,49,48, laptop,9,2,6, ,0,0,2.676207, split,0, NO,2,0, NO,2,0,0,0,1333.927098,1343.916771,1346.462539,1349.14397, , , , , , , , , 
CEWD, encoding,7,2,0,50,48, spider,15,2,1, ,0,0,2.699489, smash,0, NO,2,0, NO,2,0,0,0,1333.927098,1349.8746,1352.727124,1355.431956, , , , , , , , , 
CEWD, encoding,7,3,0,51,48, snail,14,2,1, ,0,0,2.835116, agitate,0, NO,2,0, NO,2,0,0,0,1333.927098,1356.472475,1359.631417,1362.471872, , , , , , , , , 
CEWD, encoding,7,4,0,52,48, antelope,1,1,3, ,0,0,3.402796, wash,0, NO,2,0, NO,2,0,0,0,1333.927098,1363.443433,1366.895682,1370.303768, , , , , , , , , 
CEWD, encoding,7,5,0,53,48, satellite dish,15,1,6, ,0,0,3.439975, bump,0, NO,2,0, NO,2,0,0,0,1333.927098,1371.280778,1374.026484,1377.471714, , , , , , , , , 
CEWD, encoding,7,6,0,54,48, hairdryer,6,2,6, ,0,0,4.378205, clean,0, NO,2,0, NO,2,0,0,0,1333.927098,1378.25175,1381.54412,1385.92764, , , , , , , , , 
CEWD, encoding,7,7,0,55,48, gloves,6,2,8, ,0,0,4.183654, adjusted,0, NO,2,0, NO,2,0,0,0,1333.927098,1387.208736,1389.914581,1394.103634, , , , , , , , , 
CEWD, encoding,7,8,0,56,48, asparagus,2,1,7, ,0,0,4.333248, remove,0, NO,2,0, NO,2,0,0,0,1333.927098,1395.59254,1398.764925,1403.103457, , , , , , , , , 
CEWD, retrieval,7,0,1,56,49, laptop,9,2,6, brooklyn,4,2,0, split,2.235617, semantic_animated,1,1.248263, perceptual,1,0.768792,37,0.945946, , , , ,1447.348747,1450.774059,1453.014996,1456.545454,1457.798971,1458.344824,1459.118951,1, 
CEWD, retrieval,7,0,2,56,50, hairdryer,6,2,6, olives,22,1,0, clean,2.310892, perceptual,0,1.392763, semantic_animated,0,1.356214,37,0.945946, , , , ,1447.348747,1460.690687,1463.006887,1466.528771,1467.926944,1468.461347,1469.822807,1, 
CEWD, retrieval,7,0,3,56,51, spider,15,2,1, houses,13,2,0, smash,1.503495, semantic_animated,1,2.369156, perceptual,1,1.074204,37,0.945946, , , , ,1447.348747,1470.674028,1472.182795,1475.712294,1478.086778,1478.63122,1479.710737,1, 
CEWD, retrieval,7,0,4,56,52, gloves,6,2,8, toy_room,30,4,0, adjusted,1.43488, perceptual,1,1.575273, semantic_animated,1,0.527871,37,0.945946, , , , ,1447.348747,1481.070517,1482.510721,1486.04208,1487.622747,1488.161473,1488.694697,1, 
