subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
CM	 encoding	 1	 1	 0	 1	 0	 couliflower	 7	 1	 7	 	 0	 0	 4.777576	 warm	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 75.692582	 86.015011	 88.854041	 93.637942	 	 	 	 	 	 	 	 	 
CM	 encoding	 1	 2	 0	 2	 0	 bull	 4	 2	 3	 	 0	 0	 3.969948	 dance	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 75.692582	 95.145148	 98.157556	 102.133153	 	 	 	 	 	 	 	 	 
CM	 encoding	 1	 3	 0	 3	 0	 lettuce	 10	 2	 7	 	 0	 0	 5.553731	 volley	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 75.692582	 102.956081	 105.581719	 111.140717	 	 	 	 	 	 	 	 	 
CM	 encoding	 1	 4	 0	 4	 0	 bear	 2	 1	 3	 	 0	 0	 4.495680	 detect	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 75.692582	 112.512638	 115.711655	 120.212650	 	 	 	 	 	 	 	 	 
CM	 encoding	 1	 5	 0	 5	 0	 grasshopper	 9	 1	 1	 	 0	 0	 3.789342	 catapult	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 75.692582	 121.842919	 124.641947	 128.436555	 	 	 	 	 	 	 	 	 
CM	 encoding	 1	 6	 0	 6	 0	 piranha	 9	 2	 4	 	 0	 0	 4.634414	 draw	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 75.692582	 129.160439	 132.132883	 136.772511	 	 	 	 	 	 	 	 	 
CM	 encoding	 1	 7	 0	 7	 0	 hen	 6	 1	 2	 	 0	 0	 4.389484	 inject	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 75.692582	 138.184056	 141.449611	 145.844392	 	 	 	 	 	 	 	 	 
CM	 encoding	 1	 8	 0	 8	 0	 toucan	 14	 1	 2	 	 0	 0	 5.826765	 push	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 75.692582	 146.807728	 149.460238	 155.292327	 	 	 	 	 	 	 	 	 
CM	 retrieval	 1	 0	 1	 8	 1	 hen	 6	 1	 2	 bedroom_girly	 5	 4	 0.000000	 inject	 2.263057	 perceptual	 1.000000	 1.086255	 semantic_animated	 1.000000	 0.713576	 38	 1.000000	 	 	 	 	 210.402217	 218.863409	 221.132833	 224.688081	 225.780519	 226.340845	 227.060760	 1.000000	 
CM	 retrieval	 1	 0	 2	 8	 2	 piranha	 9	 2	 4	 music_store	 21	 3	 0.000000	 draw	 3.804559	 semantic_animated	 1.000000	 1.636503	 perceptual	 0.000000	 0.698504	 38	 1.000000	 	 	 	 	 210.402217	 227.993732	 231.803786	 235.337823	 236.979876	 237.523740	 238.227689	 1.000000	 
