subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
FVM, encoding,1,1,0,1,0, bowtie,2,1,8, ,0,0,6.820387, decorate,0, NO,2,0, NO,2,0,0,0,22.714356,28.066763,31.145833,37.972909, , , , , , , , , 
FVM, encoding,1,2,0,2,0, turkey,15,1,2, ,0,0,0, rub,0, NO,2,0, NO,2,0,0,0,22.714356,39.409617,42.262002,37.972909, , , , , , , , , 
FVM, encoding,1,3,0,3,0, microphone,10,1,6, ,0,0,6.881131, warm,0, NO,2,0, NO,2,0,0,0,22.714356,50.512695,53.405033,60.291834, , , , , , , , , 
FVM, encoding,1,4,0,4,0, dragonfly,7,2,1, ,0,0,6.511132, mount,0, NO,2,0, NO,2,0,0,0,22.714356,60.935861,63.77488,70.291377, , , , , , , , , 
FVM, encoding,1,5,0,5,0, cherry,4,2,5, ,0,0,6.304209, lift,0, NO,2,0, NO,2,0,0,0,22.714356,71.558994,75.077732,81.387328, , , , , , , , , 
FVM, encoding,1,6,0,6,0, pepper,13,2,7, ,0,0,0, bump,0, NO,2,0, NO,2,0,0,0,22.714356,82.208739,85.114457,81.387328, , , , , , , , , 
FVM, encoding,1,7,0,7,0, pomegranate,14,1,5, ,0,0,4.105604, launch,0, NO,2,0, NO,2,0,0,0,22.714356,92.938392,95.484219,99.5952, , , , , , , , , 
FVM, encoding,1,8,0,8,0, satellite dish,15,1,6, ,0,0,0, revolve,0, NO,2,0, NO,2,0,0,0,22.714356,100.615821,103.62823,99.5952, , , , , , , , , 
FVM, retrieval,1,0,1,8,1, cherry,4,2,5, venecia,30,2,0, lift,6.171887, semantic_animated,1,1.905915, perceptual,1,2.072066,31,0.935484, , , , ,164.369456,175.897438,182.075617,185.627403,187.539597,188.093265,190.171657,1, 
FVM, retrieval,1,0,2,8,2, microphone,10,1,6, costarica,9,2,0, warm,3.763643, semantic_animated,1,0.883415, perceptual,0,2.169146,31,0.935484, , , , ,164.369456,191.105711,194.874943,198.409818,199.298834,199.836092,202.010891,1, 
FVM, retrieval,1,0,3,8,3, turkey,15,1,2, street,26,2,0, rub,1.335563, semantic_animated,1,1.246574, perceptual,1,1.060428,31,0.935484, , , , ,164.369456,203.421622,204.762504,208.286554,209.538483,210.072703,211.13848,1, 
FVM, retrieval,1,0,4,8,4, satellite dish,15,1,6, music_store,21,3,0, revolve,1.354582, semantic_animated,1,1.166939, perceptual,1,1.383353,31,0.935484, , , , ,164.369456,212.458581,213.818469,217.35017,218.522423,219.069719,220.458429,1, 
FVM, retrieval,1,0,5,8,5, pomegranate,14,1,5, woodsmill,32,2,0, launch,1.221741, semantic_animated,1,1.047271, perceptual,1,1.359838,31,0.935484, , , , ,164.369456,221.815315,223.042433,226.573753,227.626324,228.173238,229.538314,1, 
FVM, retrieval,1,0,6,8,6, pepper,13,2,7, fall,11,1,0, bump,1.17648, semantic_animated,1,0.991352, perceptual,1,0.858543,31,0.935484, , , , ,164.369456,230.53253,231.714306,235.237626,236.234299,236.77045,237.634262,1, 
