subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
HC	 encoding	1	1	0	1	0	 glasses	5	2	8	 	0	0	0.289664	 glide	0	 NO	2	0	 NO	2	0	0	0	38.315198	51.834316	54.768999	55.058689	 	 	 	 	 	 	 	 	 
HC	 encoding	1	2	0	2	0	 elephant	6	1	3	 	0	0	4.762345	 polish	0	 NO	2	0	 NO	2	0	0	0	38.315198	57.48215	60.624298	65.392283	 	 	 	 	 	 	 	 	 
HC	 encoding	1	3	0	3	0	 crab	2	1	4	 	0	0	5.902271	 plant	0	 NO	2	0	 NO	2	0	0	0	38.315198	66.161267	69.580304	75.487857	 	 	 	 	 	 	 	 	 
HC	 encoding	1	4	0	4	0	 gloves	6	1	8	 	0	0	6.377155	 merge	0	 NO	2	0	 NO	2	0	0	0	38.315198	76.224628	79.657448	86.039796	 	 	 	 	 	 	 	 	 
HC	 encoding	1	5	0	5	0	 giraffe	7	2	3	 	0	0	6.078884	 stick	0	 NO	2	0	 NO	2	0	0	0	38.315198	86.993983	90.01154	96.095727	 	 	 	 	 	 	 	 	 
HC	 encoding	1	6	0	6	0	 squirrel	15	1	3	 	0	0	4.484385	 explode	0	 NO	2	0	 NO	2	0	0	0	38.315198	97.334251	100.158046	104.647656	 	 	 	 	 	 	 	 	 
HC	 encoding	1	7	0	7	0	 ostrich	7	2	2	 	0	0	6.104322	 drill	0	 NO	2	0	 NO	2	0	0	0	38.315198	105.722606	108.754037	114.863619	 	 	 	 	 	 	 	 	 
HC	 encoding	1	8	0	8	0	 bowtie	2	1	8	 	0	0	3.277907	 fit	0	 NO	2	0	 NO	2	0	0	0	38.315198	116.173592	119.260417	122.543538	 	 	 	 	 	 	 	 	 
HC	 retrieval	1	0	1	8	1	 elephant	6	1	3	 desktop_house	10	4	0	 polish	3.387766	 perceptual	1	1.122668	 semantic_animated	1	0.55973	31	1	 	 	 	 	174.507274	185.15006	188.544097	192.071132	193.199871	193.746075	194.31188	1	 
HC	 retrieval	1	0	2	8	2	 bowtie	2	1	8	 cliff	6	1	0	 fit	8.04386	 perceptual	1	1.405339	 semantic_animated	1	1.259515	31	1	 	 	 	 	174.507274	195.517891	203.567264	207.076406	208.487246	209.014182	210.279217	1	 
HC	 retrieval	1	0	3	8	3	 ostrich	7	2	2	 industry_texas	14	2	0	 drill	2.261522	 perceptual	1	0.897314	 semantic_animated	1	0.417636	31	1	 	 	 	 	174.507274	212.004206	214.270978	217.776329	218.679065	219.216009	219.638945	1	 
HC	 retrieval	1	0	4	8	4	 gloves	6	1	8	 classroom	8	3	0	 merge	2.996557	 perceptual	1	1.794572	 semantic_animated	1	1.03118	31	1	 	 	 	 	174.507274	220.87715	223.878927	227.383077	229.182882	229.722431	230.75887	1	 
HC	 retrieval	1	0	5	8	5	 glasses	5	2	8	 parking_sub	24	3	0	 glide	3.888269	 perceptual	1	0.962599	 semantic_animated	1	1.579557	31	1	 	 	 	 	174.507274	232.449266	236.342849	239.854918	240.822872	241.349987	242.934795	1	 
HC	 retrieval	1	0	6	8	6	 crab	2	1	4	 snow_night	25	2	0	 plant	3.156676	 perceptual	1	2.172633	 semantic_animated	1	3.02749	31	1	 	 	 	 	174.507274	244.43683	247.598789	251.108835	253.286752	253.821945	256.854709	1	 
