subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
HJM	 encoding	 1	 1	 0	 1	 0	 football sneaker	 4	 1	 8	 	 0	 0	 2.990856	 crush	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 25.280487	 28.896459	 32.001955	 34.999223	 	 	 	 	 	 	 	 	 
HJM	 encoding	 1	 2	 0	 2	 0	 belt	 1	 1	 8	 	 0	 0	 4.177148	 discover	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 25.280487	 36.547159	 39.079638	 43.262360	 	 	 	 	 	 	 	 	 
HJM	 encoding	 1	 3	 0	 3	 0	 spider	 15	 1	 1	 	 0	 0	 3.692184	 scratch	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 25.280487	 44.651232	 48.116498	 51.813998	 	 	 	 	 	 	 	 	 
HJM	 encoding	 1	 4	 0	 4	 0	 seal	 11	 2	 4	 	 0	 0	 3.540308	 center	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 25.280487	 53.168191	 56.540380	 60.085942	 	 	 	 	 	 	 	 	 
HJM	 encoding	 1	 5	 0	 5	 0	 pomegranate	 14	 2	 5	 	 0	 0	 5.961431	 arrange	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 25.280487	 61.778613	 64.311106	 70.277773	 	 	 	 	 	 	 	 	 
HJM	 encoding	 1	 6	 0	 6	 0	 coffee maker	 3	 2	 6	 	 0	 0	 3.098187	 wipe	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 25.280487	 71.855236	 74.734247	 77.837731	 	 	 	 	 	 	 	 	 
HJM	 encoding	 1	 7	 0	 7	 0	 pineapple	 13	 1	 5	 	 0	 0	 3.809891	 hammer	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 25.280487	 78.706252	 82.078455	 85.893625	 	 	 	 	 	 	 	 	 
HJM	 encoding	 1	 8	 0	 8	 0	 slipper	 13	 1	 8	 	 0	 0	 3.137866	 walk	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 25.280487	 86.943473	 89.942396	 93.085571	 	 	 	 	 	 	 	 	 
HJM	 retrieval	 1	 0	 1	 8	 1	 football sneaker	 4	 1	 8	 foyer	 13	 4	 0.000000	 crush	 2.550003	 semantic_animated	 1.000000	 3.909486	 perceptual	 1.000000	 0.956308	 36	 1.000000	 	 	 	 	 139.793673	 143.297757	 145.854117	 149.402245	 153.317998	 153.867419	 154.829978	 1.000000	 
HJM	 retrieval	 1	 0	 2	 8	 2	 coffee maker	 3	 2	 6	 gym	 16	 3	 0.000000	 wipe	 4.677048	 semantic_animated	 1.000000	 1.250425	 perceptual	 1.000000	 0.843003	 36	 1.000000	 	 	 	 	 139.793673	 156.186623	 160.869190	 164.397192	 165.653245	 166.196558	 167.045220	 1.000000	 
HJM	 retrieval	 1	 0	 3	 8	 3	 pineapple	 13	 1	 5	 cadena_montaje	 3	 3	 0.000000	 hammer	 2.206304	 semantic_animated	 1.000000	 2.169463	 perceptual	 1.000000	 0.821243	 36	 1.000000	 	 	 	 	 139.793673	 168.209247	 170.420845	 173.942186	 176.116816	 176.634439	 177.460748	 1.000000	 
HJM	 retrieval	 1	 0	 4	 8	 4	 pomegranate	 14	 2	 5	 wetlands	 32	 1	 0.000000	 arrange	 1.800393	 perceptual	 1.000000	 1.199519	 semantic_animated	 1.000000	 0.832260	 36	 1.000000	 	 	 	 	 139.793673	 178.967131	 180.772754	 184.271971	 185.476710	 185.991344	 186.828693	 1.000000	 
HJM	 retrieval	 1	 0	 5	 8	 5	 spider	 15	 1	 1	 shoe_shop	 28	 3	 0.000000	 scratch	 5.174055	 semantic_animated	 3.000000	 5.633035	 perceptual	 3.000000	 3.506818	 36	 1.000000	 	 	 	 	 139.793673	 187.937450	 193.116616	 196.614299	 202.252565	 202.772476	 206.284504	 1.000000	 
HJM	 retrieval	 1	 0	 6	 8	 6	 slipper	 13	 1	 8	 houses	 13	 2	 0.000000	 walk	 2.108584	 perceptual	 1.000000	 1.177611	 semantic_animated	 1.000000	 1.244188	 36	 1.000000	 	 	 	 	 139.793673	 207.810677	 209.924460	 213.422138	 214.604743	 215.115020	 216.364424	 1.000000	 
HJM	 retrieval	 1	 0	 7	 8	 7	 belt	 1	 1	 8	 canyon	 4	 1	 0.000000	 discover	 6.434581	 semantic_animated	 3.000000	 2.194912	 perceptual	 3.000000	 0.315896	 36	 1.000000	 	 	 	 	 139.793673	 217.620620	 224.060340	 227.564136	 229.764270	 230.283124	 230.604267	 0.000000	 
HJM	 retrieval	 1	 0	 8	 8	 8	 seal	 11	 2	 4	 cherry_field	 5	 1	 0.000000	 center	 4.596587	 semantic_animated	 1.000000	 3.157139	 perceptual	 1.000000	 3.757666	 36	 1.000000	 	 	 	 	 139.793673	 232.122451	 236.724236	 240.226429	 243.388570	 243.905236	 247.668100	 0.000000	 
HJM	 encoding	 2	 1	 0	 9	 8	 hairdryer	 6	 2	 6	 	 0	 0	 3.091885	 trap	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 253.262247	 259.473085	 262.698849	 265.796285	 	 	 	 	 	 	 	 	 
HJM	 encoding	 2	 2	 0	 10	 8	 aubergine	 3	 2	 7	 	 0	 0	 4.230095	 spin	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 253.262247	 266.910718	 269.536585	 273.771871	 	 	 	 	 	 	 	 	 
HJM	 encoding	 2	 3	 0	 11	 8	 lion	 11	 2	 3	 	 0	 0	 4.187458	 smash	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 253.262247	 274.694828	 277.467168	 281.659911	 	 	 	 	 	 	 	 	 
HJM	 encoding	 2	 4	 0	 12	 8	 colibri	 2	 2	 2	 	 0	 0	 3.835679	 peek	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 253.262247	 282.918692	 286.330868	 290.171743	 	 	 	 	 	 	 	 	 
HJM	 encoding	 2	 5	 0	 13	 8	 mantaray	 7	 1	 4	 	 0	 0	 5.216691	 pull	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 253.262247	 291.462486	 294.381729	 299.603627	 	 	 	 	 	 	 	 	 
HJM	 encoding	 2	 6	 0	 14	 8	 glasses	 5	 2	 8	 	 0	 0	 4.945199	 identify	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 253.262247	 300.368937	 303.565084	 308.515641	 	 	 	 	 	 	 	 	 
HJM	 encoding	 2	 7	 0	 15	 8	 crab	 2	 1	 4	 	 0	 0	 4.164146	 catapult	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 253.262247	 309.163108	 312.082151	 316.251460	 	 	 	 	 	 	 	 	 
HJM	 encoding	 2	 8	 0	 16	 8	 artichoke	 1	 2	 7	 	 0	 0	 2.993884	 chop	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 253.262247	 317.017335	 320.172729	 323.171672	 	 	 	 	 	 	 	 	 
HJM	 retrieval	 2	 0	 1	 16	 9	 aubergine	 3	 2	 7	 chernobil	 6	 2	 0.000000	 spin	 4.623569	 semantic_animated	 1.000000	 2.887112	 perceptual	 1.000000	 0.634941	 38	 0.947368	 	 	 	 	 368.301090	 370.358171	 374.986916	 378.486453	 381.378855	 381.898648	 382.538844	 1.000000	 
HJM	 retrieval	 2	 0	 2	 16	 10	 artichoke	 1	 2	 7	 lake_	 18	 1	 0.000000	 chop	 4.950349	 perceptual	 1.000000	 1.107837	 semantic_animated	 1.000000	 0.665777	 38	 0.947368	 	 	 	 	 368.301090	 384.111186	 389.066762	 392.561680	 393.674752	 394.187705	 394.858738	 1.000000	 
HJM	 retrieval	 2	 0	 3	 16	 11	 hairdryer	 6	 2	 6	 volcano	 30	 1	 0.000000	 trap	 6.612219	 perceptual	 1.000000	 2.947396	 semantic_animated	 0.000000	 2.425466	 38	 0.947368	 	 	 	 	 368.301090	 396.137200	 402.754639	 406.250219	 409.202617	 409.715970	 412.146650	 0.000000	 
HJM	 retrieval	 2	 0	 4	 16	 12	 lion	 11	 2	 3	 pool_room	 28	 4	 0.000000	 smash	 6.650671	 perceptual	 1.000000	 1.069980	 semantic_animated	 1.000000	 0.596054	 38	 0.947368	 	 	 	 	 368.301090	 413.234618	 419.890485	 423.391224	 424.466420	 424.977191	 425.578434	 1.000000	 
HJM	 retrieval	 2	 0	 5	 16	 13	 mantaray	 7	 1	 4	 uni_londo	 29	 2	 0.000000	 pull	 3.799486	 perceptual	 1.000000	 1.214917	 semantic_animated	 1.000000	 0.770149	 38	 0.947368	 	 	 	 	 368.301090	 427.069709	 430.874396	 434.374180	 435.594357	 436.106926	 436.882347	 1.000000	 
HJM	 retrieval	 2	 0	 6	 16	 14	 crab	 2	 1	 4	 kitchen_2	 22	 4	 0.000000	 catapult	 4.597378	 semantic_animated	 1.000000	 1.477352	 perceptual	 1.000000	 4.062112	 38	 0.947368	 	 	 	 	 368.301090	 438.079667	 442.682273	 446.183656	 447.666265	 448.182878	 452.250172	 1.000000	 
HJM	 retrieval	 2	 0	 7	 16	 15	 glasses	 5	 2	 8	 destroyed_living	 11	 4	 0.000000	 identify	 1.767890	 perceptual	 1.000000	 2.708562	 semantic_animated	 1.000000	 0.898818	 38	 0.947368	 	 	 	 	 368.301090	 453.957056	 455.730184	 459.232339	 461.946266	 462.458016	 463.362051	 1.000000	 
HJM	 retrieval	 2	 0	 8	 16	 16	 colibri	 2	 2	 2	 island_kitchen	 17	 4	 0.000000	 peek	 1.808836	 semantic_animated	 1.000000	 1.570533	 perceptual	 1.000000	 0.861905	 38	 0.947368	 	 	 	 	 368.301090	 464.404072	 466.218076	 469.722230	 471.297990	 471.814898	 472.681978	 1.000000	 
HJM	 encoding	 3	 1	 0	 17	 16	 satellite dish	 15	 1	 6	 	 0	 0	 3.764371	 explode	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 524.267121	 529.289873	 531.887795	 535.657488	 	 	 	 	 	 	 	 	 
HJM	 encoding	 3	 2	 0	 18	 16	 eagle	 4	 2	 2	 	 0	 0	 5.094727	 whirl	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 524.267121	 536.475528	 539.845276	 544.945311	 	 	 	 	 	 	 	 	 
HJM	 encoding	 3	 3	 0	 19	 16	 carrot	 5	 2	 7	 	 0	 0	 4.231359	 splash	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 524.267121	 546.202955	 549.668621	 553.905203	 	 	 	 	 	 	 	 	 
HJM	 encoding	 3	 4	 0	 20	 16	 toucan	 14	 2	 2	 	 0	 0	 4.879363	 decorate	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 524.267121	 555.240044	 557.812533	 562.697136	 	 	 	 	 	 	 	 	 
HJM	 encoding	 3	 5	 0	 21	 16	 shark	 13	 2	 4	 	 0	 0	 6.247613	 give	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 524.267121	 564.093103	 566.796141	 573.049076	 	 	 	 	 	 	 	 	 
HJM	 encoding	 3	 6	 0	 22	 16	 hen	 6	 2	 2	 	 0	 0	 4.803041	 cross	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 524.267121	 573.769557	 576.872691	 581.680954	 	 	 	 	 	 	 	 	 
HJM	 encoding	 3	 7	 0	 23	 16	 snail	 14	 1	 1	 	 0	 0	 6.869714	 inject	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 524.267121	 582.577456	 585.269919	 592.144847	 	 	 	 	 	 	 	 	 
HJM	 encoding	 3	 8	 0	 24	 16	 seaturtle	 12	 2	 4	 	 0	 0	 6.138446	 break	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 524.267121	 593.093794	 596.561081	 602.704736	 	 	 	 	 	 	 	 	 
HJM	 retrieval	 3	 0	 1	 24	 17	 satellite dish	 15	 1	 6	 geisser	 14	 1	 0.000000	 explode	 2.128773	 semantic_animated	 1.000000	 1.282678	 perceptual	 1.000000	 1.643435	 35	 1.000000	 	 	 	 	 648.656987	 651.434291	 653.568269	 657.072331	 658.360243	 658.871634	 660.520259	 1.000000	 
HJM	 retrieval	 3	 0	 2	 24	 18	 eagle	 4	 2	 2	 paris_metro	 23	 3	 0.000000	 whirl	 8.293607	 perceptual	 1.000000	 3.682774	 semantic_animated	 1.000000	 4.948410	 35	 1.000000	 	 	 	 	 648.656987	 661.765341	 670.064108	 673.560051	 677.248063	 677.758682	 682.712109	 0.000000	 
HJM	 retrieval	 3	 0	 3	 24	 19	 seaturtle	 12	 2	 4	 clean_bath	 7	 4	 0.000000	 break	 6.691348	 semantic_animated	 0.000000	 3.534850	 perceptual	 1.000000	 0.762773	 35	 1.000000	 	 	 	 	 648.656987	 683.623340	 690.319913	 693.819882	 697.359873	 697.871883	 698.639902	 1.000000	 
