subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
JB	 encoding	 1	 1	 0	 1	 0	 spider	 15	 1	 1	 	 0	 0	 3.837385	 lay	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 23.311834	 28.746510	 31.629664	 35.473525	 	 	 	 	 	 	 	 	 
JB	 encoding	 1	 2	 0	 2	 0	 hat	 7	 1	 8	 	 0	 0	 3.194021	 whirl	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 23.311834	 36.796239	 39.912974	 43.112608	 	 	 	 	 	 	 	 	 
JB	 encoding	 1	 3	 0	 3	 0	 horse	 9	 1	 3	 	 0	 0	 4.183516	 smash	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 23.311834	 44.129646	 47.379427	 51.568329	 	 	 	 	 	 	 	 	 
JB	 encoding	 1	 4	 0	 4	 0	 handmixer	 7	 1	 6	 	 0	 0	 2.198897	 flash	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 23.311834	 52.329314	 55.596037	 57.800205	 	 	 	 	 	 	 	 	 
JB	 encoding	 1	 5	 0	 5	 0	 sheep	 14	 2	 3	 	 0	 0	 3.360985	 pick	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 23.311834	 59.045864	 62.545883	 65.912160	 	 	 	 	 	 	 	 	 
JB	 encoding	 1	 6	 0	 6	 0	 cherry	 4	 1	 5	 	 0	 0	 3.677039	 press	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 23.311834	 66.912405	 70.045772	 73.728089	 	 	 	 	 	 	 	 	 
JB	 encoding	 1	 7	 0	 7	 0	 owl	 8	 1	 2	 	 0	 0	 4.716547	 include	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 23.311834	 75.129032	 78.462204	 83.184060	 	 	 	 	 	 	 	 	 
JB	 encoding	 1	 8	 0	 8	 0	 pear	 12	 1	 5	 	 0	 0	 2.266028	 bump	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 23.311834	 83.928834	 87.328675	 89.599985	 	 	 	 	 	 	 	 	 
JB	 retrieval	 1	 0	 1	 8	 1	 horse	 9	 1	 3	 canyon	 4	 1	 0.000000	 smash	 3.260062	 perceptual	 0.000000	 4.027501	 semantic_animated	 1.000000	 1.332177	 30	 1.000000	 	 	 	 	 141.495257	 145.694261	 148.960669	 152.510810	 156.544497	 157.094089	 158.432481	 1.000000	 
JB	 retrieval	 1	 0	 2	 8	 2	 pear	 12	 1	 5	 laundry	 19	 3	 0.000000	 bump	 6.166911	 perceptual	 0.000000	 2.843087	 semantic_animated	 1.000000	 5.147742	 30	 1.000000	 	 	 	 	 141.495257	 160.227317	 166.399565	 169.927106	 172.775783	 173.310417	 178.463742	 1.000000	 
