subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 episode_remembered	 OnsetEnd
JLC	 encoding	 1	 1	 0	 1	 0	 dress	 3	 2	 8	 	 0	 0	 2.617041	 assemble	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.074972	 38.860754	 41.726116	 44.349913	 	 	 	 	 	 	 
JLC	 encoding	 1	 2	 0	 2	 0	 tomato	 16	 2	 7	 	 0	 0	 4.599371	 adjusted	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.074972	 45.574323	 48.799596	 53.404612	 	 	 	 	 	 	 
JLC	 encoding	 1	 3	 0	 3	 0	 canary	 1	 2	 2	 	 0	 0	 2.988848	 swing	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.074972	 54.544128	 57.714041	 60.708176	 	 	 	 	 	 	 
JLC	 encoding	 1	 4	 0	 4	 0	 eagle	 4	 1	 2	 	 0	 0	 2.860653	 destroy	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.074972	 62.171206	 65.410188	 68.276138	 	 	 	 	 	 	 
JLC	 encoding	 1	 5	 0	 5	 0	 colibri	 2	 1	 2	 	 0	 0	 5.069428	 harm	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.074972	 69.369081	 72.345283	 77.420109	 	 	 	 	 	 	 
JLC	 encoding	 1	 6	 0	 6	 0	 kiwi	 7	 1	 5	 	 0	 0	 0.000000	 glide	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.074972	 78.934114	 81.688668	 77.420109	 	 	 	 	 	 	 
JLC	 encoding	 1	 7	 0	 7	 0	 computer mouse	 4	 2	 6	 	 0	 0	 4.308732	 spin	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.074972	 90.173997	 93.537705	 97.851823	 	 	 	 	 	 	 
JLC	 encoding	 1	 8	 0	 8	 0	 seaturtle	 12	 1	 4	 	 0	 0	 3.889799	 jam	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.074972	 99.185354	 101.884562	 105.779662	 	 	 	 	 	 	 
JLC	 retrieval	 1	 0	 1	 8	 1	 computer mouse	 4	 2	 6	 myst	 20	 1	 0.000000	 spin	 2.915827	 semantic_animated	 0.000000	 2.361367	 33	 1.000000	 	 	 	 	 151.621221	 157.585873	 160.508206	 164.036245	 166.403819	 1.000000	 
JLC	 retrieval	 1	 0	 2	 8	 2	 dress	 3	 2	 8	 paris	 20	 2	 0.000000	 assemble	 3.775241	 perceptual	 1.000000	 2.674442	 33	 1.000000	 	 	 	 	 151.621221	 167.718410	 171.499232	 175.027028	 177.707126	 1.000000	 
JLC	 retrieval	 1	 0	 3	 8	 3	 eagle	 4	 1	 2	 toy_room	 30	 4	 0.000000	 destroy	 3.629648	 semantic_animated	 1.000000	 1.046989	 33	 1.000000	 	 	 	 	 151.621221	 178.999844	 182.634705	 186.142400	 187.194709	 1.000000	 
JLC	 retrieval	 1	 0	 4	 8	 4	 canary	 1	 2	 2	 volcano	 30	 1	 0.000000	 swing	 2.309170	 perceptual	 1.000000	 1.745478	 33	 1.000000	 	 	 	 	 151.621221	 188.800144	 191.114593	 194.627753	 196.378596	 1.000000	 
JLC	 retrieval	 1	 0	 5	 8	 5	 seaturtle	 12	 1	 4	 baby_room	 2	 4	 0.000000	 jam	 1.606493	 perceptual	 0.000000	 1.948826	 33	 1.000000	 	 	 	 	 151.621221	 197.174704	 198.786512	 202.296318	 204.250486	 1.000000	 
JLC	 retrieval	 1	 0	 6	 8	 6	 colibri	 2	 1	 2	 buddish_temple	 2	 3	 0.000000	 harm	 2.429030	 semantic_animated	 1.000000	 1.226568	 33	 1.000000	 	 	 	 	 151.621221	 205.480075	 207.914397	 211.418466	 212.650384	 1.000000	 
JLC	 retrieval	 1	 0	 7	 8	 7	 tomato	 16	 2	 7	 hardware_shop	 18	 3	 0.000000	 adjusted	 3.878170	 semantic_animated	 1.000000	 1.438376	 33	 1.000000	 	 	 	 	 151.621221	 214.366797	 218.250265	 221.758564	 223.202284	 1.000000	 
JLC	 retrieval	 1	 0	 8	 8	 8	 kiwi	 7	 1	 5	 japanese_living	 18	 4	 0.000000	 glide	 2.298204	 perceptual	 0.000000	 3.612417	 33	 1.000000	 	 	 	 	 151.621221	 224.554654	 226.858199	 230.368361	 233.986140	 1.000000	 
JLC	 encoding	 2	 1	 0	 9	 8	 slipper	 13	 2	 8	 	 0	 0	 3.708080	 brush	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 239.483838	 249.526125	 252.128416	 255.842054	 	 	 	 	 	 	 
JLC	 encoding	 2	 2	 0	 10	 8	 lion	 11	 1	 3	 	 0	 0	 4.525421	 arrange	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 239.483838	 256.654883	 259.271042	 263.801739	 	 	 	 	 	 	 
JLC	 encoding	 2	 3	 0	 11	 8	 parrot	 9	 1	 2	 	 0	 0	 5.257564	 pat	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 239.483838	 264.489553	 267.714736	 272.977593	 	 	 	 	 	 	 
