subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
LD, encoding,1,1,0,1,0, hat,7,2,8, ,0,0,2.636358, plant,0, NO,2,0, NO,2,0,0,0,69.975042,76.728701,79.52778,82.17058, , , , , , , , , 
LD, encoding,1,2,0,2,0, artichoke,1,1,7, ,0,0,0, locate,0, NO,2,0, NO,2,0,0,0,69.975042,82.98007,86.392231,82.17058, , , , , , , , , 
LD, encoding,1,3,0,3,0, corn,6,2,7, ,0,0,5.988738, lay,0, NO,2,0, NO,2,0,0,0,69.975042,94.482865,97.335236,103.32987, , , , , , , , , 
LD, encoding,1,4,0,4,0, flamingo,5,1,2, ,0,0,5.752115, jump,0, NO,2,0, NO,2,0,0,0,69.975042,104.732756,107.291813,113.049204, , , , , , , , , 
LD, encoding,1,5,0,5,0, orange,10,2,5, ,0,0,0, pull,0, NO,2,0, NO,2,0,0,0,69.975042,114.302873,117.115266,113.049204, , , , , , , , , 
LD, encoding,1,6,0,6,0, kiwi,7,1,5, ,0,0,6.380136, arrange,0, NO,2,0, NO,2,0,0,0,69.975042,125.219161,128.031665,134.417136, , , , , , , , , 
LD, encoding,1,7,0,7,0, shirt,12,1,8, ,0,0,6.018224, scratch,0, NO,2,0, NO,2,0,0,0,69.975042,135.149204,138.321505,144.345072, , , , , , , , , 
LD, encoding,1,8,0,8,0, remote control,14,1,6, ,0,0,5.064296, shake,0, NO,2,0, NO,2,0,0,0,69.975042,145.265864,148.531405,153.601049, , , , , , , , , 
LD, retrieval,1,0,1,8,1, corn,6,2,7, desktop_house,10,4,0, lay,2.429442, perceptual,1,4.156798, semantic_animated,1,1.190348,30,0.766667, , , , ,208.099395,212.869835,215.305674,218.854448,223.017536,223.572854,224.769588,1, 
LD, retrieval,1,0,2,8,2, shirt,12,1,8, field,12,1,0, scratch,2.836421, semantic_animated,1,1.329114, perceptual,1,1.193735,30,0.766667, , , , ,208.099395,225.678781,228.520837,232.050071,233.384802,233.929396,235.128788,1, 
LD, retrieval,1,0,3,8,3, hat,7,2,8, iceberg,16,1,0, plant,7.967677, semantic_animated,1,1.232951, perceptual,1,1.340195,30,0.766667, , , , ,208.099395,236.0754,244.048452,247.578139,248.816445,249.350885,250.696433,1, 
LD, retrieval,1,0,4,8,4, kiwi,7,1,5, baby_room,2,4,0, arrange,8.18904, perceptual,3,1.568918, semantic_animated,3,0.537693,30,0.766667, , , , ,208.099395,252.34996,260.544334,264.066035,265.640298,266.185235,266.728288,0, 
LD, retrieval,1,0,5,8,5, remote control,14,1,6, paris,20,2,0, shake,1.698238, semantic_animated,1,4.649395, perceptual,2,1.363012,30,0.766667, , , , ,208.099395,268.104691,269.80822,273.329595,277.984294,278.527859,279.896238,1, 
LD, retrieval,1,0,6,8,6, flamingo,5,1,2, paris_metro,23,3,0, jump,5.259845, perceptual,1,1.054919, semantic_animated,1,1.175281,30,0.766667, , , , ,208.099395,281.16697,286.432171,289.963897,291.024264,291.56349,292.744108,1, 
LD, retrieval,1,0,7,8,7, orange,10,2,5, uni_londo,29,2,0, pull,2.773576, semantic_animated,1,1.060968, perceptual,1,1.296189,30,0.766667, , , , ,208.099395,294.229176,297.008062,300.53376,301.600149,302.146524,303.448059,1, 
LD, retrieval,1,0,8,8,8, artichoke,1,1,7, cinema,7,3,0, locate,9.078127, perceptual,3,0.557089, semantic_animated,3,0.306719,30,0.766667, , , , ,208.099395,304.412555,313.496085,317.021524,317.583967,318.127927,318.439953,0, 
LD, encoding,2,1,0,9,8, apple,1,2,5, ,0,0,5.728075, launch,0, NO,2,0, NO,2,0,0,0,522.386046,534.268843,537.401152,543.134822, , , , , , , , , 
LD, encoding,2,2,0,10,8, dress,3,1,8, ,0,0,0, build,0, NO,2,0, NO,2,0,0,0,522.386046,544.212163,547.277795,543.134822, , , , , , , , , 
