subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
LMC, encoding,1,1,0,1,0, coconut,5,1,5, ,0,0,2.154216, hit,0, NO,2,0, NO,2,0,0,0,28.677502,33.057007,35.616044,37.776776, , , , , , , , , 
LMC, encoding,1,2,0,2,0, grapes,6,2,5, ,0,0,3.55624, bury,0, NO,2,0, NO,2,0,0,0,28.677502,39.428139,42.01395,45.575751, , , , , , , , , 
LMC, encoding,1,3,0,3,0, gorilla,8,1,3, ,0,0,5.318681, draw,0, NO,2,0, NO,2,0,0,0,28.677502,46.372556,49.571316,54.895305, , , , , , , , , 
LMC, encoding,1,4,0,4,0, mosquito,12,1,1, ,0,0,5.796542, compare,0, NO,2,0, NO,2,0,0,0,28.677502,55.835728,59.021401,64.82318, , , , , , , , , 
LMC, encoding,1,5,0,5,0, rabbit,12,2,3, ,0,0,2.410598, shake,0, NO,2,0, NO,2,0,0,0,28.677502,65.912288,69.351151,71.767047, , , , , , , , , 
LMC, encoding,1,6,0,6,0, swordfish,16,1,4, ,0,0,4.35405, adjusted,0, NO,2,0, NO,2,0,0,0,28.677502,73.123246,76.055548,80.414977, , , , , , , , , 
LMC, encoding,1,7,0,7,0, microphone,10,1,6, ,0,0,2.532902, cover,0, NO,2,0, NO,2,0,0,0,28.677502,81.720207,84.372618,86.910796, , , , , , , , , 
LMC, encoding,1,8,0,8,0, pepper,13,1,7, ,0,0,3.543091, reduce,0, NO,2,0, NO,2,0,0,0,28.677502,87.798196,91.010363,94.558736, , , , , , , , , 
LMC, retrieval,1,0,1,8,1, mosquito,12,1,1, corridor_home,9,4,0, compare,4.079412, semantic_animated,0,1.058031, perceptual,1,2.421288,34,1, , , , ,142.980215,149.217075,153.302808,156.854378,157.918627,158.467124,160.894606,1, 
LMC, retrieval,1,0,2,8,2, swordfish,16,1,4, rainforest,23,1,0, adjusted,2.937037, semantic_animated,1,0.859336, perceptual,1,0.475743,34,1, , , , ,142.980215,162.199284,165.141798,168.676978,169.541803,170.07649,170.557748,1, 
