subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
MA, encoding,1,1,0,1,0, remote control,14,1,6, ,0,0,3.111733, touch,0, NO,2,0, NO,2,0,0,0,26.418234,32.9562,35.741919,38.860061, , , , , , , , , 
MA, encoding,1,2,0,2,0, garlic,9,2,7, ,0,0,2.962176, chop,0, NO,2,0, NO,2,0,0,0,26.418234,39.713953,43.179478,46.147292, , , , , , , , , 
MA, encoding,1,3,0,3,0, shark,13,2,4, ,0,0,2.585648, identify,0, NO,2,0, NO,2,0,0,0,26.418234,47.124916,49.723885,52.314773, , , , , , , , , 
MA, encoding,1,4,0,4,0, turkey,15,1,2, ,0,0,3.073104, rub,0, NO,2,0, NO,2,0,0,0,26.418234,53.269343,56.508274,59.586728, , , , , , , , , 
MA, encoding,1,5,0,5,0, eel,4,1,4, ,0,0,4.283538, wrap,0, NO,2,0, NO,2,0,0,0,26.418234,60.426838,63.865759,68.154584, , , , , , , , , 
MA, encoding,1,6,0,6,0, lettuce,10,1,7, ,0,0,4.601082, arrange,0, NO,2,0, NO,2,0,0,0,26.418234,69.290625,72.396111,77.002496, , , , , , , , , 
MA, encoding,1,7,0,7,0, duck,3,2,2, ,0,0,2.969451, remove,0, NO,2,0, NO,2,0,0,0,26.418234,78.260924,81.579644,84.554378, , , , , , , , , 
MA, encoding,1,8,0,8,0, potato,14,2,7, ,0,0,1.739683, squeeze,0, NO,2,0, NO,2,0,0,0,26.418234,85.591723,88.497393,90.237101, , , , , , , , , 
MA, retrieval,1,0,1,8,1, remote control,14,1,6, chessy_bedroom,6,4,0, touch,2.39408, semantic_animated,1,2.177496, perceptual,1,2.629018,23,1, , , , ,143.719403,157.194086,159.5946,163.138642,165.322312,165.871038,168.506221,1, 
MA, retrieval,1,0,2,8,2, garlic,9,2,7, natural_night,21,1,0, chop,7.342212, semantic_animated,1,3.441983, perceptual,1,1.816445,23,1, , , , ,143.719403,169.66977,177.017496,180.545932,183.99345,184.531394,186.353358,0, 
MA, retrieval,1,0,3,8,3, turkey,15,1,2, snow_night,25,2,0, rub,3.295054, perceptual,0,4.158644, semantic_animated,0,4.125436,23,1, , , , ,143.719403,187.916742,191.217077,194.741082,198.905007,199.446208,203.57694,1, 
