subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
MCH	 encoding	 1	 1	 0	 1	 0	 shirt	 12	 2	 8	 	 0	 0	 0.000000	 stick	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 329.528692	 337.864928	 340.584097	 	 	 	 	 	 	 	 	 	 
MCH	 encoding	 1	 2	 0	 2	 0	 tomato	 16	 1	 7	 	 0	 0	 0.000000	 jump	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 329.528692	 348.567845	 352.046621	 	 	 	 	 	 	 	 	 	 
MCH	 encoding	 1	 3	 0	 3	 0	 football sneaker	 4	 2	 8	 	 0	 0	 0.000000	 decorate	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 329.528692	 359.830866	 362.843037	 	 	 	 	 	 	 	 	 	 
MCH	 encoding	 1	 4	 0	 4	 0	 toaster	 16	 1	 6	 	 0	 0	 0.000000	 shift	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 329.528692	 371.026896	 374.385718	 	 	 	 	 	 	 	 	 	 
MCH	 encoding	 1	 5	 0	 5	 0	 starfish	 15	 1	 4	 	 0	 0	 0.000000	 bump	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 329.528692	 382.049760	 385.555072	 	 	 	 	 	 	 	 	 	 
MCH	 encoding	 1	 6	 0	 6	 0	 sport t-shirt	 15	 1	 8	 	 0	 0	 0.000000	 reduce	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 329.528692	 393.485845	 396.671320	 	 	 	 	 	 	 	 	 	 
MCH	 encoding	 1	 7	 0	 7	 0	 shrimp	 14	 1	 4	 	 0	 0	 0.000000	 locate	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 329.528692	 404.375416	 407.267715	 	 	 	 	 	 	 	 	 	 
MCH	 encoding	 1	 8	 0	 8	 0	 pumpkin	 15	 1	 7	 	 0	 0	 0.000000	 harm	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 329.528692	 415.904784	 418.823655	 	 	 	 	 	 	 	 	 	 
MCH	 retrieval	 1	 0	 1	 8	 1	 shirt	 12	 2	 8	 uni_londo	 29	 2	 0.000000	 stick	 0.946597	 perceptual	 1.000000	 2.081475	 semantic_animated	 1.000000	 1.450348	 31	 0.967742	 	 	 	 	 478.098834	 485.854074	 486.806959	 490.359094	 492.446915	 492.998165	 494.454767	 1.000000	 
MCH	 retrieval	 1	 0	 2	 8	 2	 toaster	 16	 1	 6	 parking_sub	 24	 3	 0.000000	 shift	 1.534045	 perceptual	 1.000000	 1.413108	 semantic_animated	 1.000000	 2.381556	 31	 0.967742	 	 	 	 	 478.098834	 496.170524	 497.710036	 501.235342	 502.654450	 503.194767	 505.581955	 1.000000	 
MCH	 retrieval	 1	 0	 3	 8	 3	 shrimp	 14	 1	 4	 clean_bath	 7	 4	 0.000000	 locate	 11.764184	 semantic_animated	 1.000000	 2.398594	 perceptual	 1.000000	 1.292881	 31	 0.967742	 	 	 	 	 478.098834	 507.100020	 518.869436	 522.401488	 524.805393	 525.347158	 526.645343	 1.000000	 
MCH	 retrieval	 1	 0	 4	 8	 4	 starfish	 15	 1	 4	 flowers	 13	 1	 0.000000	 bump	 8.037595	 semantic_animated	 3.000000	 0.604322	 perceptual	 3.000000	 0.450005	 31	 0.967742	 	 	 	 	 478.098834	 527.946273	 535.989155	 539.515526	 540.125166	 540.661813	 541.117140	 0.000000	 
MCH	 retrieval	 1	 0	 5	 8	 5	 sport t-shirt	 15	 1	 8	 comic_shop	 10	 3	 0.000000	 reduce	 10.165134	 semantic_animated	 1.000000	 2.367082	 perceptual	 1.000000	 1.176009	 31	 0.967742	 	 	 	 	 478.098834	 542.554493	 552.724995	 556.256438	 558.628874	 559.175470	 560.356847	 1.000000	 
