subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
MS	 encoding	 1	 1	 0	 1	 0	 toucan	 14	 2	 2	 	 0	 0	 6.838658	 shake	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 20.551346	 25.021386	 27.754580	 34.599533	 	 	 	 	 	 	 	 	 
MS	 encoding	 1	 2	 0	 2	 0	 sheep	 14	 2	 3	 	 0	 0	 6.018622	 hide	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 20.551346	 35.371078	 38.454464	 44.478705	 	 	 	 	 	 	 	 	 
MS	 encoding	 1	 3	 0	 3	 0	 glasses	 5	 1	 8	 	 0	 0	 2.249490	 scratch	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 20.551346	 46.104334	 49.487474	 51.742315	 	 	 	 	 	 	 	 	 
MS	 encoding	 1	 4	 0	 4	 0	 radio02	 13	 2	 6	 	 0	 0	 4.247635	 utilize	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 20.551346	 53.154037	 56.337269	 60.590126	 	 	 	 	 	 	 	 	 
MS	 encoding	 1	 5	 0	 5	 0	 camel	 5	 1	 3	 	 0	 0	 4.531779	 divide	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 20.551346	 62.070488	 65.236931	 69.774011	 	 	 	 	 	 	 	 	 
MS	 encoding	 1	 6	 0	 6	 0	 starfish02	 15	 2	 4	 	 0	 0	 3.959212	 deliver	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 20.551346	 71.103445	 73.753366	 77.717883	 	 	 	 	 	 	 	 	 
MS	 encoding	 1	 7	 0	 7	 0	 printer	 12	 1	 6	 	 0	 0	 6.877831	 connect	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 20.551346	 78.819999	 81.586594	 88.469720	 	 	 	 	 	 	 	 	 
MS	 encoding	 1	 8	 0	 8	 0	 artichoke	 1	 1	 7	 	 0	 0	 6.440752	 twitch	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 20.551346	 89.603036	 93.119495	 99.565519	 	 	 	 	 	 	 	 	 
MS	 retrieval	 1	 0	 1	 8	 1	 printer	 12	 1	 6	 cinema	 7	 3	 0.000000	 connect	 3.110304	 semantic_animated	 1.000000	 1.924340	 perceptual	 1.000000	 1.489634	 39	 0.948718	 	 	 	 	 149.352669	 157.001101	 160.118546	 163.650881	 165.581422	 166.117571	 167.613268	 1.000000	 
MS	 retrieval	 1	 0	 2	 8	 2	 camel	 5	 1	 3	 waterfall	 31	 1	 0.000000	 divide	 1.477023	 semantic_animated	 1.000000	 1.156414	 perceptual	 1.000000	 0.872426	 39	 0.948718	 	 	 	 	 149.352669	 168.834249	 170.316801	 173.850670	 175.012618	 175.550712	 176.428655	 1.000000	 
