subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, episode_remembered, OnsetEnd
NG, encoding,1,1,0,1,0, beetle,2,1,1, ,0,0,3.301356, jam,0, NO,2,0,0,0,57.423159,62.008636,65.458547,68.766332, , , , , , , 
NG, encoding,1,2,0,2,0, watermelon,16,2,5, ,0,0,4.848042, lift,0, NO,2,0,0,0,57.423159,69.925241,73.391773,78.245494, , , , , , , 
NG, encoding,1,3,0,3,0, ladybug,10,2,1, ,0,0,3.627496, revolve,0, NO,2,0,0,0,57.423159,79.141841,82.108269,85.741135, , , , , , , 
NG, encoding,1,4,0,4,0, pullover,10,2,8, ,0,0,4.635656, divide,0, NO,2,0,0,0,57.423159,87.008124,90.508148,95.149389, , , , , , , 
NG, encoding,1,5,0,5,0, pelican,11,2,2, ,0,0,4.826372, destroy,0, NO,2,0,0,0,57.423159,96.557943,99.941294,104.773009, , , , , , , 
NG, encoding,1,6,0,6,0, rhinoceros,13,2,3, ,0,0,5.585254, flash,0, NO,2,0,0,0,57.423159,106.17457,108.974349,114.564984, , , , , , , 
NG, encoding,1,7,0,7,0, snail,14,1,1, ,0,0,4.02658, decorate,0, NO,2,0,0,0,57.423159,115.207669,118.141012,122.17284, , , , , , , 
NG, encoding,1,8,0,8,0, belt,1,2,8, ,0,0,4.402109, scratch,0, NO,2,0,0,0,57.423159,123.340863,126.757368,131.164812, , , , , , , 
NG, retrieval,1,0,1,8,1, belt,1,2,8, storm,26,1,0, scratch,2.361447, semantic_animated,1,1.541503,33,1, , , , ,178.626704,182.589716,184.957546,188.489604,190.037279,1, 
NG, retrieval,1,0,2,8,2, snail,14,1,1, old_street,19,2,0, decorate,1.790201, semantic_animated,1,1.841647,33,1, , , , ,178.626704,191.272897,193.068607,196.589415,198.43668,1, 
NG, retrieval,1,0,3,8,3, pullover,10,2,8, foyer,13,4,0, divide,4.500311, perceptual,1,1.715167,33,1, , , , ,178.626704,199.322727,203.828438,207.355815,209.076335,1, 
NG, retrieval,1,0,4,8,4, ladybug,10,2,1, corridor_home,9,4,0, revolve,2.606548, perceptual,1,2.753191,33,1, , , , ,178.626704,210.672406,213.28425,216.805731,219.564306,1, 
NG, retrieval,1,0,5,8,5, pelican,11,2,2, chessy_bedroom,6,4,0, destroy,2.385369, perceptual,0,1.516786,33,1, , , , ,178.626704,221.20552,223.596286,227.122127,228.644221,1, 
NG, retrieval,1,0,6,8,6, rhinoceros,13,2,3, dirty_bathroom,12,4,0, flash,1.132807, perceptual,1,0.794135,33,1, , , , ,178.626704,229.722031,230.860194,234.388738,235.188226,1, 
NG, retrieval,1,0,7,8,7, watermelon,16,2,5, retro_living,29,4,0, lift,1.062307, semantic_animated,1,0.9502,33,1, , , , ,178.626704,236.488584,237.556132,241.088587,242.044107,1, 
NG, retrieval,1,0,8,8,8, beetle,2,1,1, disco,11,3,0, jam,2.743586, perceptual,0,2.972287,33,1, , , , ,178.626704,243.055164,245.804115,249.338427,252.316068,1, 
NG, encoding,2,1,0,9,8, artichoke,1,2,7, ,0,0,4.002172, squeeze,0, NO,2,0,0,0,328.028829,331.586855,335.01999,339.027829, , , , , , , 
NG, encoding,2,2,0,10,8, lion,11,2,3, ,0,0,5.854217, build,0, NO,2,0,0,0,328.028829,340.469947,343.719929,349.579468, , , , , , , 
NG, encoding,2,3,0,11,8, garlic,9,1,7, ,0,0,6.748978, crush,0, NO,2,0,0,0,328.028829,350.353058,353.753129,360.507419, , , , , , , 
NG, encoding,2,4,0,12,8, bear,2,1,3, ,0,0,0, glide,0, NO,2,0,0,0,328.028829,361.736294,364.96945,360.507419, , , , , , , 
NG, encoding,2,5,0,13,8, cucumber,8,2,7, ,0,0,2.934062, volley,0, NO,2,0,0,0,328.028829,373.419367,376.335842,379.275304, , , , , , , 
NG, encoding,2,6,0,14,8, squirrel,15,1,3, ,0,0,6.536128, smooth,0, NO,2,0,0,0,328.028829,379.919278,383.285835,389.827197, , , , , , , 
NG, encoding,2,7,0,15,8, scarf,11,1,8, ,0,0,5.681594, throw,0, NO,2,0,0,0,328.028829,390.835716,393.852184,399.539141, , , , , , , 
NG, encoding,2,8,0,16,8, asparagus,2,2,7, ,0,0,4.434458, deposit,0, NO,2,0,0,0,328.028829,400.568861,403.435325,407.875032, , , , , , , 
NG, retrieval,2,0,1,16,9, asparagus,2,2,7, japanese_temple,15,2,0, deposit,2.232978, semantic_animated,1,1.242449,32,1, , , , ,453.451846,456.284436,458.522719,462.050934,463.298719,1, 
