subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
NP_OK, encoding,1,1,0,1,0, microphone,10,1,6, ,0,0,3.111496, squeeze,0, NO,2,0, NO,2,0,0,0,49.171547,54.1531,57.685139,60.803176, , , , , , , , , 
NP_OK, encoding,1,2,0,2,0, vulture,16,2,2, ,0,0,4.89786, wash,0, NO,2,0, NO,2,0,0,0,49.171547,62.376903,65.402616,70.306115, , , , , , , , , 
NP_OK, encoding,1,3,0,3,0, pear,12,1,5, ,0,0,6.51167, grind,0, NO,2,0, NO,2,0,0,0,49.171547,71.534045,74.812779,81.329774, , , , , , , , , 
NP_OK, encoding,1,4,0,4,0, bumble bee,3,1,1, ,0,0,5.360589, clean,0, NO,2,0, NO,2,0,0,0,49.171547,82.343471,85.675782,91.04165, , , , , , , , , 
NP_OK, encoding,1,5,0,5,0, coconut,5,2,5, ,0,0,4.465081, flash,0, NO,2,0, NO,2,0,0,0,49.171547,92.113593,95.259183,99.72951, , , , , , , , , 
NP_OK, encoding,1,6,0,6,0, tie,16,1,8, ,0,0,6.329187, twitch,0, NO,2,0, NO,2,0,0,0,49.171547,100.777331,103.523001,109.857448, , , , , , , , , 
NP_OK, encoding,1,7,0,7,0, papaya,11,2,5, ,0,0,0, spin,0, NO,2,0, NO,2,0,0,0,49.171547,110.867263,113.866222,109.857448, , , , , , , , , 
NP_OK, encoding,1,8,0,8,0, fly,8,1,1, ,0,0,0, assemble,0, NO,2,0, NO,2,0,0,0,49.171547,121.930189,124.70251,109.857448, , , , , , , , , 
NP_OK, retrieval,1,0,1,8,1, tie,16,1,8, toy_room,30,4,0, twitch,12.938309, semantic_animated,3,1.29868, perceptual,3,0.733855,31,1, , , , ,177.592731,180.57702,193.521826,197.064637,198.369579,198.917448,199.65756,0, 
NP_OK, retrieval,1,0,2,8,2, vulture,16,2,2, street,26,2,0, wash,1.814526, semantic_animated,1,1.11769, perceptual,1,1.08354,31,1, , , , ,177.592731,201.356706,203.176862,206.701491,207.824815,208.367628,209.456829,1, 
