subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
RW, encoding,1,8,0,8,0, toaster,16,2,6, ,0,0,5.433801, glide,0, NO,2,0, NO,2,0,0,0,9.04381,90.266778,93.132117,98.571258, , , , , , , , , 
RW, retrieval,1,0,1,8,1, toaster,16,2,6, luxury_kitchen,25,4,0, glide,2.323419, semantic_animated,1,0.846188, perceptual,1,0.648286,37,0.918919, , , , ,147.228842,151.601504,153.931194,157.470579,158.323022,158.86853,159.523106,1, 
RW, retrieval,1,0,2,8,2, mantaray,7,2,4, rice_terrace,24,1,0, pull,3.602322, semantic_animated,1,0.839462, perceptual,1,0.3751,37,0.918919, , , , ,147.228842,161.346377,164.954167,168.461136,169.306241,169.845462,170.22615,1, 
RW, retrieval,1,0,3,8,3, rabbit,12,1,3, snow_night,25,2,0, adjusted,1.736782, semantic_animated,1,0.628744, perceptual,1,0.537833,37,0.918919, , , , ,147.228842,171.395808,173.137781,176.65576,177.289833,177.818572,178.361775,1, 
RW, retrieval,1,0,4,8,4, garlic,9,2,7, rainforest,23,1,0, hop,2.174954, semantic_animated,1,0.685746, perceptual,0,0.795666,37,0.918919, , , , ,147.228842,179.853368,182.033678,185.542509,186.2336,186.760576,187.561579,1, 
RW, retrieval,1,0,5,8,5, swordfish,16,1,4, living_room,23,4,0, trap,2.609024, perceptual,1,0.866686, semantic_animated,1,0.862665,37,0.918919, , , , ,147.228842,188.643155,191.257507,194.76138,195.633446,196.173379,197.041404,1, 
RW, retrieval,1,0,6,8,6, printer,12,1,6, desert,7,1,0, melt,3.07526, semantic_animated,1,1.382466, perceptual,1,0.554241,37,0.918919, , , , ,147.228842,198.152725,201.233322,204.741507,206.129218,206.665638,207.225193,1, 
RW, retrieval,1,0,7,8,7, satellite dish,15,1,6, airport,1,2,0, combine,12.541337, semantic_animated,3,0.532409, perceptual,3,1.562498,37,0.918919, , , , ,147.228842,208.894258,221.440898,224.951135,225.488908,226.017055,227.584835,1, 
RW, retrieval,1,0,8,8,8, pelican,11,2,2, nice_port,18,2,0, throw,5.954583, semantic_animated,1,0.526284, perceptual,1,0.492554,37,0.918919, , , , ,147.228842,228.840821,234.800669,238.308994,238.84062,239.374747,239.872611,1, 
RW, encoding,2,1,0,9,8, vulture,16,2,2, ,0,0,4.973523, cover,0, NO,2,0, NO,2,0,0,0,245.11253,249.327225,252.469405,257.448456, , , , , , , , , 
RW, encoding,2,2,0,10,8, bumble bee,3,1,1, ,0,0,5.882823, clap,0, NO,2,0, NO,2,0,0,0,245.11253,258.130856,260.66396,266.552074, , , , , , , , , 
RW, encoding,2,3,0,11,8, dolphin,3,2,4, ,0,0,6.608431, add,0, NO,2,0, NO,2,0,0,0,245.11253,267.363637,270.810275,277.423912, , , , , , , , , 
RW, encoding,2,4,0,12,8, banana,3,1,5, ,0,0,0, match,0, NO,2,0, NO,2,0,0,0,245.11253,278.672701,281.219606,277.423912, , , , , , , , , 
RW, encoding,2,5,0,13,8, antelope,1,2,3, ,0,0,6.996026, stamp,0, NO,2,0, NO,2,0,0,0,245.11253,289.400363,292.750118,299.751499, , , , , , , , , 
RW, encoding,2,6,0,14,8, gamepad,5,1,6, ,0,0,6.765115, dance,0, NO,2,0, NO,2,0,0,0,245.11253,300.557125,303.380858,310.151267, , , , , , , , , 
RW, encoding,2,7,0,15,8, kangaroo,10,2,3, ,0,0,6.333466, shake,0, NO,2,0, NO,2,0,0,0,245.11253,311.021763,313.956314,320.295227, , , , , , , , , 
RW, encoding,2,8,0,16,8, centipede,5,1,1, ,0,0,6.380435, plant,0, NO,2,0, NO,2,0,0,0,245.11253,321.0713,324.061185,330.447016, , , , , , , , , 
RW, retrieval,2,0,1,16,9, centipede,5,1,1, temple_indian,27,2,0, plant,2.719789, perceptual,1,1.418643, semantic_animated,1,0.786887,40,1, , , , ,376.773244,379.512845,382.237934,385.741924,387.165887,387.693668,388.485876,1, 
RW, retrieval,2,0,2,16,10, banana,3,1,5, bedroom_dirty,4,4,0, match,4.013775, perceptual,1,1.00356, semantic_animated,1,0.635005,40,1, , , , ,376.773244,389.354649,393.373785,396.884817,397.893737,398.421306,399.061659,1, 
