subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
SA	 encoding	 1	 1	 0	 1	 0	 apple	 1	 1	 5	 	 0	 0	 4.696611	 crush	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 42.345543	 53.655381	 56.654239	 61.357285	 	 	 	 	 	 	 	 	 
SA	 encoding	 1	 2	 0	 2	 0	 pullover	 10	 1	 8	 	 0	 0	 3.480645	 hit	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 42.345543	 62.652308	 65.318183	 68.804374	 	 	 	 	 	 	 	 	 
SA	 encoding	 1	 3	 0	 3	 0	 dragonfly	 7	 1	 1	 	 0	 0	 3.347267	 paint	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 42.345543	 69.596712	 72.835581	 76.188103	 	 	 	 	 	 	 	 	 
SA	 encoding	 1	 4	 0	 4	 0	 spider	 15	 1	 1	 	 0	 0	 3.320193	 circle	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 42.345543	 77.034269	 80.246567	 83.572157	 	 	 	 	 	 	 	 	 
SA	 encoding	 1	 5	 0	 5	 0	 carrot	 5	 2	 7	 	 0	 0	 3.440076	 hammer	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 42.345543	 84.631720	 87.670744	 91.116066	 	 	 	 	 	 	 	 	 
SA	 encoding	 1	 6	 0	 6	 0	 grasshopper	 9	 1	 1	 	 0	 0	 3.562564	 deposit	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 42.345543	 92.642463	 95.548167	 99.116028	 	 	 	 	 	 	 	 	 
SA	 encoding	 1	 7	 0	 7	 0	 hat	 7	 1	 8	 	 0	 0	 2.903604	 browse	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 42.345543	 100.306592	 102.839099	 105.748004	 	 	 	 	 	 	 	 	 
SA	 encoding	 1	 8	 0	 8	 0	 cockroach	 6	 2	 1	 	 0	 0	 3.727362	 guide	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 42.345543	 106.517770	 109.943367	 113.675972	 	 	 	 	 	 	 	 	 
SA	 retrieval	 1	 0	 1	 8	 1	 carrot	 5	 2	 7	 french	 11	 2	 0.000000	 hammer	 1.489727	 perceptual	 1.000000	 2.486105	 semantic_animated	 1.000000	 1.519089	 28	 1.000000	 	 	 	 	 170.193439	 182.132777	 183.628787	 187.184336	 189.676563	 190.223379	 191.748678	 1.000000	 
SA	 retrieval	 1	 0	 2	 8	 2	 hat	 7	 1	 8	 corridor_home	 9	 4	 0.000000	 browse	 2.631924	 semantic_animated	 1.000000	 1.564470	 perceptual	 1.000000	 1.338578	 28	 1.000000	 	 	 	 	 170.193439	 192.582529	 195.219895	 198.753925	 200.323934	 200.859853	 202.203994	 1.000000	 
