subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
SC	 encoding	 1	 1	 0	 1	 0	 strawberry	 15	 2	 5	 	 0	 0	 4.206006	 walk	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.243644	 39.424218	 42.876352	 47.088740	 	 	 	 	 	 	 	 	 
SC	 encoding	 1	 2	 0	 2	 0	 starfish02	 15	 2	 4	 	 0	 0	 2.854196	 squeeze	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.243644	 48.474442	 51.300049	 54.159768	 	 	 	 	 	 	 	 	 
SC	 encoding	 1	 3	 0	 3	 0	 tomato	 16	 2	 7	 	 0	 0	 2.477938	 cover	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.243644	 55.698724	 58.604186	 61.087429	 	 	 	 	 	 	 	 	 
SC	 encoding	 1	 4	 0	 4	 0	 slipper	 13	 2	 8	 	 0	 0	 1.248143	 press	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.243644	 62.136443	 65.601879	 66.850049	 	 	 	 	 	 	 	 	 
SC	 encoding	 1	 5	 0	 5	 0	 remote control	 14	 2	 6	 	 0	 0	 1.444723	 deliver	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.243644	 68.774029	 71.533105	 72.977903	 	 	 	 	 	 	 	 	 
SC	 encoding	 1	 6	 0	 6	 0	 worm	 16	 2	 1	 	 0	 0	 1.540009	 circle	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.243644	 74.532150	 77.397824	 78.937860	 	 	 	 	 	 	 	 	 
SC	 encoding	 1	 7	 0	 7	 0	 ladybug	 10	 1	 1	 	 0	 0	 1.672449	 fade	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.243644	 80.130247	 83.249170	 84.921642	 	 	 	 	 	 	 	 	 
SC	 encoding	 1	 8	 0	 8	 0	 tie	 16	 1	 8	 	 0	 0	 0.736241	 swing	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 34.243644	 86.727995	 90.153438	 90.889731	 	 	 	 	 	 	 	 	 
SC	 retrieval	 1	 0	 1	 8	 1	 ladybug	 10	 1	 1	 cinema	 7	 3	 0.000000	 fade	 4.032124	 perceptual	 1.000000	 2.178815	 semantic_animated	 1.000000	 1.864909	 29	 0.965517	 	 	 	 	 143.311866	 154.944530	 158.982906	 162.741762	 164.926907	 165.487598	 167.358670	 1.000000	 
SC	 retrieval	 1	 0	 2	 8	 2	 starfish02	 15	 2	 4	 town_riff	 28	 2	 0.000000	 squeeze	 2.508764	 semantic_animated	 1.000000	 1.542749	 perceptual	 1.000000	 0.842186	 29	 0.965517	 	 	 	 	 143.311866	 168.859730	 171.373995	 174.897652	 176.445900	 176.990187	 177.837950	 1.000000	 
SC	 retrieval	 1	 0	 3	 8	 3	 tomato	 16	 2	 7	 bedroom_girly	 5	 4	 0.000000	 cover	 2.482723	 perceptual	 1.000000	 1.559321	 semantic_animated	 1.000000	 0.773355	 29	 0.965517	 	 	 	 	 143.311866	 178.909608	 181.397595	 184.920876	 186.485498	 187.026816	 187.805519	 1.000000	 
SC	 retrieval	 1	 0	 4	 8	 4	 strawberry	 15	 2	 5	 granada	 12	 2	 0.000000	 walk	 2.979703	 semantic_animated	 1.000000	 1.909722	 perceptual	 1.000000	 0.905253	 29	 0.965517	 	 	 	 	 143.311866	 189.492554	 192.477435	 196.010309	 197.925401	 198.462787	 199.373355	 1.000000	 
SC	 retrieval	 1	 0	 5	 8	 5	 slipper	 13	 2	 8	 church	 6	 3	 0.000000	 press	 2.188676	 perceptual	 1.000000	 1.990635	 semantic_animated	 1.000000	 0.586091	 29	 0.965517	 	 	 	 	 143.311866	 200.955276	 203.149261	 206.673318	 208.669188	 209.205756	 209.797136	 1.000000	 
SC	 retrieval	 1	 0	 6	 8	 6	 remote control	 14	 2	 6	 waterfall	 31	 1	 0.000000	 deliver	 2.239954	 perceptual	 3.000000	 3.372583	 semantic_animated	 3.000000	 4.237660	 29	 0.965517	 	 	 	 	 143.311866	 210.871944	 213.117421	 216.643216	 220.021042	 220.561956	 224.804943	 1.000000	 
SC	 retrieval	 1	 0	 7	 8	 7	 tie	 16	 1	 8	 dif_river	 9	 1	 0.000000	 swing	 3.077032	 perceptual	 1.000000	 0.817937	 semantic_animated	 1.000000	 0.690288	 29	 0.965517	 	 	 	 	 143.311866	 226.506576	 229.588841	 233.117547	 233.940868	 234.477178	 235.172754	 1.000000	 
SC	 retrieval	 1	 0	 8	 8	 8	 worm	 16	 2	 1	 uni_londo	 29	 2	 0.000000	 circle	 3.421560	 perceptual	 1.000000	 2.351942	 semantic_animated	 1.000000	 0.547501	 29	 0.965517	 	 	 	 	 143.311866	 236.449820	 239.876701	 243.407348	 245.764599	 246.299772	 246.852568	 1.000000	 
SC	 encoding	 2	 1	 0	 9	 8	 lettuce	 10	 1	 7	 	 0	 0	 3.822379	 add	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 251.692882	 317.582039	 320.127718	 323.955708	 	 	 	 	 	 	 	 	 
SC	 encoding	 2	 2	 0	 10	 8	 mosquito	 12	 2	 1	 	 0	 0	 3.376885	 fold	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 251.692882	 325.192646	 327.845086	 331.227410	 	 	 	 	 	 	 	 	 
SC	 encoding	 2	 3	 0	 11	 8	 swordfish	 16	 2	 4	 	 0	 0	 5.416996	 fit	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 251.692882	 332.496818	 335.988937	 341.411182	 	 	 	 	 	 	 	 	 
SC	 encoding	 2	 4	 0	 12	 8	 wolf	 16	 2	 3	 	 0	 0	 0.980095	 connect	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 251.692882	 342.813307	 345.625625	 346.605748	 	 	 	 	 	 	 	 	 
SC	 encoding	 2	 5	 0	 13	 8	 pomegranate	 14	 1	 5	 	 0	 0	 2.083487	 split	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 251.692882	 349.091107	 351.770175	 353.858971	 	 	 	 	 	 	 	 	 
SC	 encoding	 2	 6	 0	 14	 8	 blowfish	 1	 1	 4	 	 0	 0	 3.015901	 guide	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 251.692882	 354.515939	 357.141662	 360.162870	 	 	 	 	 	 	 	 	 
SC	 encoding	 2	 7	 0	 15	 8	 jellyfish	 5	 1	 4	 	 0	 0	 1.999992	 deposit	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 251.692882	 361.366821	 364.619098	 366.619113	 	 	 	 	 	 	 	 	 
SC	 encoding	 2	 8	 0	 16	 8	 gloves	 6	 2	 8	 	 0	 0	 2.000034	 jam	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 251.692882	 368.164558	 371.123520	 373.123578	 	 	 	 	 	 	 	 	 
SC	 retrieval	 2	 0	 1	 16	 9	 jellyfish	 5	 1	 4	 library	 20	 3	 0.000000	 deposit	 2.231093	 perceptual	 1.000000	 1.336987	 semantic_animated	 1.000000	 0.849629	 32	 0.968750	 	 	 	 	 422.520384	 427.837385	 430.073787	 433.595395	 434.937702	 435.474745	 436.329681	 1.000000	 
