subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
SJT, encoding,1,1,0,1,0, laptop,9,2,6, ,0,0,3.662665, split,0, NO,2,0, NO,2,0,0,0,20.838194,25.456526,28.224994,31.894149, , , , , , , , , 
SJT, encoding,1,2,0,2,0, gorilla,8,2,3, ,0,0,3.291622, pump,0, NO,2,0, NO,2,0,0,0,20.838194,33.208217,35.85196,39.149164, , , , , , , , , 
SJT, encoding,1,3,0,3,0, seahorse,10,2,4, ,0,0,5.22981, allocate,0, NO,2,0, NO,2,0,0,0,20.838194,40.641567,43.25768,48.492786, , , , , , , , , 
SJT, encoding,1,4,0,4,0, rabbit,12,2,3, ,0,0,5.874293, adjusted,0, NO,2,0, NO,2,0,0,0,20.838194,49.708155,53.141059,59.020653, , , , , , , , , 
SJT, encoding,1,5,0,5,0, centipede,5,1,1, ,0,0,5.689703, give,0, NO,2,0, NO,2,0,0,0,20.838194,60.615918,63.96558,69.660565, , , , , , , , , 
SJT, encoding,1,6,0,6,0, canary,1,1,2, ,0,0,3.988613, trap,0, NO,2,0, NO,2,0,0,0,20.838194,70.886853,74.250499,78.244418, , , , , , , , , 
SJT, encoding,1,7,0,7,0, radio,13,1,6, ,0,0,4.552474, peek,0, NO,2,0, NO,2,0,0,0,20.838194,79.039909,81.614558,86.172298, , , , , , , , , 
SJT, encoding,1,8,0,8,0, betroot,4,1,7, ,0,0,4.370804, guide,0, NO,2,0, NO,2,0,0,0,20.838194,87.068377,90.252206,94.628264, , , , , , , , , 
SJT, retrieval,1,0,1,8,1, gorilla,8,2,3, geisser,14,1,0, pump,6.928128, perceptual,1,2.471466, semantic_animated,1,1.519897,30,1, , , , ,146.136919,152.750047,159.68467,163.214646,165.692483,166.246128,167.772507,1, 
SJT, retrieval,1,0,2,8,2, seahorse,10,2,4, pool_room,28,4,0, allocate,5.029047, perceptual,1,0.80824, semantic_animated,1,0.753506,30,1, , , , ,146.136919,169.512974,174.54749,178.053674,178.867484,179.396426,180.155536,1, 
SJT, retrieval,1,0,3,8,3, canary,1,1,2, snow_night,25,2,0, trap,2.018052, semantic_animated,1,0.952982, perceptual,0,3.818154,30,1, , , , ,146.136919,181.19583,183.219126,186.732773,187.691118,188.227608,192.05106,1, 
SJT, retrieval,1,0,4,8,4, betroot,4,1,7, swimming_pool,31,3,0, guide,6.515024, perceptual,1,4.087242, semantic_animated,1,1.264042,30,1, , , , ,146.136919,193.058611,199.578989,203.094294,207.18689,207.717514,208.986916,1, 
SJT, retrieval,1,0,5,8,5, laptop,9,2,6, church,6,3,0, split,1.785823, semantic_animated,1,1.180164, perceptual,1,1.98363,30,1, , , , ,146.136919,210.347667,212.138765,215.649241,216.834771,217.365743,219.354728,1, 
SJT, retrieval,1,0,6,8,6, radio,13,1,6, granada,12,2,0, peek,2.541576, semantic_animated,1,1.846571, perceptual,1,1.305636,30,1, , , , ,146.136919,220.687819,223.234728,226.750729,228.602592,229.131604,230.442616,1, 
SJT, retrieval,1,0,7,8,7, rabbit,12,2,3, paris,20,2,0, adjusted,2.566081, semantic_animated,1,1.825317, perceptual,0,1.922283,30,1, , , , ,146.136919,231.983101,234.554544,238.059853,239.890487,240.426847,242.354463,1, 
SJT, retrieval,1,0,8,8,8, centipede,5,1,1, malopolska,16,2,0, give,3.989395, perceptual,3,3.430829, semantic_animated,0,3.578178,30,1, , , , ,146.136919,243.167648,247.162341,250.670175,254.106337,254.642818,258.226299,1, 
SJT, encoding,2,1,0,9,8, tie,16,1,8, ,0,0,5.183791, add,0, NO,2,0, NO,2,0,0,0,264.768545,270.602914,273.772865,278.962334, , , , , , , , , 
SJT, encoding,2,2,0,10,8, crab,2,1,4, ,0,0,4.753455, grind,0, NO,2,0, NO,2,0,0,0,264.768545,280.610973,283.227148,287.985878, , , , , , , , , 
SJT, encoding,2,3,0,11,8, bumble bee,3,2,1, ,0,0,5.885856, launch,0, NO,2,0, NO,2,0,0,0,264.768545,288.791709,291.87856,297.769766, , , , , , , , , 
