subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
TVV	 encoding	1	1	0	1	0	 football sneaker	4	2	8	 	0	0	0	 hide	0	 NO	2	0	 NO	2	0	0	0	37.173111	44.130459	47.494141	 	 	 	 	 	 	 	 	 	 
TVV	 encoding	1	2	0	2	0	 coffee maker	3	2	6	 	0	0	5.609261	 punch	0	 NO	2	0	 NO	2	0	0	0	37.173111	55.924122	59.176972	64.792603	 	 	 	 	 	 	 	 	 
TVV	 encoding	1	3	0	3	0	 dolphin	3	2	4	 	0	0	5.850774	 assemble	0	 NO	2	0	 NO	2	0	0	0	37.173111	65.461686	68.27138	74.127718	 	 	 	 	 	 	 	 	 
TVV	 encoding	1	4	0	4	0	 eagle	4	1	2	 	0	0	6.2644	 jam	0	 NO	2	0	 NO	2	0	0	0	37.173111	75.28949	78.26564	84.535406	 	 	 	 	 	 	 	 	 
TVV	 encoding	1	5	0	5	0	 coconut	5	2	5	 	0	0	6.106443	 blur	0	 NO	2	0	 NO	2	0	0	0	37.173111	85.505221	88.287529	94.399329	 	 	 	 	 	 	 	 	 
TVV	 encoding	1	6	0	6	0	 onions	12	2	7	 	0	0	0	 melt	0	 NO	2	0	 NO	2	0	0	0	37.173111	95.180999	98.032511	94.399329	 	 	 	 	 	 	 	 	 
TVV	 encoding	1	7	0	7	0	 bear	2	1	3	 	0	0	0	 dig	0	 NO	2	0	 NO	2	0	0	0	37.173111	106.351789	109.327856	94.399329	 	 	 	 	 	 	 	 	 
TVV	 encoding	1	8	0	8	0	 bowtie	2	1	8	 	0	0	6.914261	 fade	0	 NO	2	0	 NO	2	0	0	0	37.173111	117.508718	120.415574	127.335057	 	 	 	 	 	 	 	 	 
TVV	 retrieval	1	0	1	8	1	 coconut	5	2	5	 music_store	21	3	0	 blur	8.867495	 perceptual	1	1.088805	 semantic_animated	1	1.599434	36	0.944444	 	 	 	 	193.172822	208.909708	217.783617	221.312375	222.407439	222.945694	224.551285	1	 
TVV	 retrieval	1	0	2	8	2	 bear	2	1	3	 rome_skyline	21	2	0	 dig	7.894529	 perceptual	1	1.360447	 semantic_animated	1	0.792147	36	0.944444	 	 	 	 	193.172822	225.866572	233.766574	237.272602	238.638586	239.168917	239.966579	1	 
