subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
VN, encoding,1,1,0,1,0, bowtie,2,2,8, ,0,0,0, boot,0, NO,2,0, NO,2,0,0,0,36.914056,41.846327,45.362996, , , , , , , , , , 
VN, encoding,1,2,0,2,0, antelope,1,1,3, ,0,0,5.252476, remove,0, NO,2,0, NO,2,0,0,0,36.914056,53.496173,56.146255,61.405144, , , , , , , , , 
VN, encoding,1,3,0,3,0, lettuce,10,1,7, ,0,0,6.515934, connect,0, NO,2,0, NO,2,0,0,0,36.914056,62.31273,65.36274,71.884579, , , , , , , , , 
VN, encoding,1,4,0,4,0, tie,16,2,8, ,0,0,6.404909, punch,0, NO,2,0, NO,2,0,0,0,36.914056,72.812638,76.14579,82.555981, , , , , , , , , 
VN, encoding,1,5,0,5,0, pomegranate,14,2,5, ,0,0,4.043557, bring,0, NO,2,0, NO,2,0,0,0,36.914056,83.878999,87.179058,91.22801, , , , , , , , , 
VN, encoding,1,6,0,6,0, camera,2,1,6, ,0,0,5.022611, splash,0, NO,2,0, NO,2,0,0,0,36.914056,91.945554,95.312155,100.340208, , , , , , , , , 
VN, encoding,1,7,0,7,0, bison,3,2,3, ,0,0,5.088032, hold,0, NO,2,0, NO,2,0,0,0,36.914056,101.279352,104.662629,109.755871, , , , , , , , , 
VN, encoding,1,8,0,8,0, pelican,11,1,2, ,0,0,5.722839, adjusted,0, NO,2,0, NO,2,0,0,0,36.914056,110.497117,113.963704,119.691864, , , , , , , , , 
VN, retrieval,1,0,1,8,1, pelican,11,1,2, casino,5,3,0, adjusted,4.9897, perceptual,0,2.034826, semantic_animated,0,2.222713,28,0.964286, , , , ,176.244697,179.912671,184.90883,188.42753,190.468593,190.991659,193.220669,1, 
VN, retrieval,1,0,2,8,2, bison,3,2,3, town_riff,28,2,0, hold,4.112623, semantic_animated,1,1.748115, perceptual,1,0.896265,28,0.964286, , , , ,176.244697,194.645793,198.763981,202.266191,204.020016,204.534019,205.435893,1, 
VN, retrieval,1,0,3,8,3, lettuce,10,1,7, prison,27,3,0, connect,2.83812, perceptual,1,1.287312, semantic_animated,1,1.303155,28,0.964286, , , , ,176.244697,206.712287,209.555522,213.046955,214.339574,214.847106,216.155574,1, 
VN, retrieval,1,0,4,8,4, antelope,1,1,3, bedroom_baby,3,4,0, remove,3.802235, semantic_animated,3,0.599457, perceptual,3,0.355121,28,0.964286, , , , ,176.244697,217.780075,221.587546,225.078759,225.683523,226.195182,226.555527,0, 
VN, retrieval,1,0,5,8,5, bowtie,2,2,8, luxury_kitchen,25,4,0, boot,4.442286, semantic_animated,1,1.731925, perceptual,1,1.140173,28,0.964286, , , , ,176.244697,228.179999,232.627528,236.130274,237.8675,238.37801,239.523759,1, 
VN, retrieval,1,0,6,8,6, pomegranate,14,2,5, new_york,17,2,0, bring,1.580388, perceptual,1,2.897103, semantic_animated,1,1.351087,28,0.964286, , , , ,176.244697,240.761818,242.34743,245.845053,248.747573,249.263066,250.619452,1, 
VN, retrieval,1,0,7,8,7, tie,16,2,8, ronda_road,22,2,0, punch,3.028624, semantic_animated,1,1.583162, perceptual,1,0.898261,28,0.964286, , , , ,176.244697,251.761575,254.795401,258.294944,259.883414,260.395907,261.299403,1, 
VN, retrieval,1,0,8,8,8, camera,2,1,6, desktop_house,10,4,0, splash,1.750743, perceptual,1,2.412521, semantic_animated,1,0.823459,28,0.964286, , , , ,176.244697,262.111401,263.867384,267.361551,269.779396,270.294667,271.123347,1, 
VN, encoding,2,1,0,9,8, onions,12,1,7, ,0,0,0, plant,0, NO,2,0, NO,2,0,0,0,304.989417,312.410623,315.660593, , , , , , , , , , 
VN, encoding,2,2,0,10,8, cherry,4,2,5, ,0,0,3.748942, flash,0, NO,2,0, NO,2,0,0,0,304.989417,324.243748,326.977133,330.731483, , , , , , , , , 
VN, encoding,2,3,0,11,8, printer,12,1,6, ,0,0,5.712304, forge,0, NO,2,0, NO,2,0,0,0,304.989417,332.260291,335.69356,341.411193, , , , , , , , , 
VN, encoding,2,4,0,12,8, ant,1,1,1, ,0,0,3.971355, fall,0, NO,2,0, NO,2,0,0,0,304.989417,342.660184,345.226805,349.20322, , , , , , , , , 
VN, encoding,2,5,0,13,8, eagle,4,2,2, ,0,0,4.944487, compare,0, NO,2,0, NO,2,0,0,0,304.989417,350.543386,353.493316,358.443131, , , , , , , , , 
VN, encoding,2,6,0,14,8, artichoke,1,2,7, ,0,0,4.937882, revolve,0, NO,2,0, NO,2,0,0,0,304.989417,359.993322,362.659874,367.603093, , , , , , , , , 
VN, encoding,2,7,0,15,8, blowfish,1,2,4, ,0,0,4.456658, utilize,0, NO,2,0, NO,2,0,0,0,304.989417,368.559769,371.293128,375.755075, , , , , , , , , 
VN, encoding,2,8,0,16,8, melon,9,1,5, ,0,0,6.322147, polish,0, NO,2,0, NO,2,0,0,0,304.989417,376.659635,379.659638,385.987043, , , , , , , , , 
VN, retrieval,2,0,1,16,9, artichoke,1,2,7, kid_bedroom,19,4,0, revolve,5.937038, perceptual,3,2.206349, semantic_animated,1,1.25752,31,0.903226, , , , ,436.067945,439.10859,445.050908,448.543163,450.75476,451.259964,452.523068,0, 
VN, retrieval,2,0,2,16,10, cherry,4,2,5, cinema,7,3,0, flash,4.409132, semantic_animated,1,2.10842, perceptual,1,2.642381,31,0.903226, , , , ,436.067945,454.308448,458.722752,462.225042,464.338765,464.843065,467.490711,1, 
VN, retrieval,2,0,3,16,11, eagle,4,2,2, gym,16,3,0, compare,3.390734, semantic_animated,1,1.347273, perceptual,1,1.664562,31,0.903226, , , , ,436.067945,468.774706,472.170729,475.658186,477.010726,477.525001,479.194783,1, 
VN, retrieval,2,0,4,16,12, melon,9,1,5, houses,13,2,0, polish,2.842881, semantic_animated,1,1.564846, perceptual,1,0.825819,31,0.903226, , , , ,436.067945,480.474507,483.322647,486.824659,488.394681,488.907821,489.73882,1, 
VN, retrieval,2,0,5,16,13, ant,1,1,1, pool_room,28,4,0, fall,4.071377, semantic_animated,1,3.323643, perceptual,1,0.89838,31,0.903226, , , , ,436.067945,491.094023,495.170609,498.657749,501.986586,502.491038,503.39459,1, 
VN, retrieval,2,0,6,16,14, blowfish,1,2,4, Untitled,1,4,0, utilize,6.701689, semantic_animated,0,2.310887, perceptual,0,0.741804,31,0.903226, , , , ,436.067945,504.57563,511.282607,514.774391,517.090553,517.60752,518.354558,1, 
VN, retrieval,2,0,7,16,15, printer,12,1,6, japanese_temple,15,2,0, forge,3.407231, perceptual,3,0.459215, semantic_animated,3,2.556145,31,0.903226, , , , ,436.067945,519.574099,522.986607,526.47404,526.938493,527.457119,530.018544,0, 
VN, retrieval,2,0,8,16,16, onions,12,1,7, rainforest,23,1,0, plant,9.262026, semantic_animated,1,2.327496, perceptual,1,0.973414,31,0.903226, , , , ,436.067945,531.607194,540.874524,544.373753,546.706433,547.223789,548.202487,1, 
VN, encoding,3,1,0,17,16, tomato,16,1,7, ,0,0,3.718534, browse,0, NO,2,0, NO,2,0,0,0,565.682918,573.48998,576.806555,580.530984, , , , , , , , , 
VN, encoding,3,2,0,18,16, hairdryer,6,2,6, ,0,0,5.318011, balance,0, NO,2,0, NO,2,0,0,0,565.682918,581.456505,584.423083,589.746429, , , , , , , , , 
VN, encoding,3,3,0,19,16, belt,1,1,8, ,0,0,4.333522, draw,0, NO,2,0, NO,2,0,0,0,565.682918,590.406306,593.239569,597.578312, , , , , , , , , 
VN, encoding,3,4,0,20,16, dolphin,3,1,4, ,0,0,4.212201, glide,0, NO,2,0, NO,2,0,0,0,565.682918,599.057871,601.872824,606.090336, , , , , , , , , 
VN, encoding,3,5,0,21,16, coffee maker,3,2,6, ,0,0,5.431599, swim,0, NO,2,0, NO,2,0,0,0,565.682918,607.024094,609.789435,615.226345, , , , , , , , , 
VN, encoding,3,6,0,22,16, gloves,6,2,8, ,0,0,5.068496, grind,0, NO,2,0, NO,2,0,0,0,565.682918,616.239305,618.872453,623.94633, , , , , , , , , 
VN, encoding,3,7,0,23,16, scorpion,13,2,1, ,0,0,5.449116, swing,0, NO,2,0, NO,2,0,0,0,565.682918,624.707139,627.755907,633.210194, , , , , , , , , 
VN, encoding,3,8,0,24,16, seahorse,10,1,4, ,0,0,4.975087, join,0, NO,2,0, NO,2,0,0,0,565.682918,633.905675,636.405821,641.386169, , , , , , , , , 
VN, retrieval,3,0,1,24,17, coffee maker,3,2,6, church,6,3,0, swim,2.703177, semantic_animated,1,1.581837, perceptual,1,0.489887,34,0.911765, , , , ,688.678234,690.421536,693.130042,696.622872,698.210039,698.722797,699.218026,1, 
VN, retrieval,3,0,2,24,18, belt,1,1,8, greenhouse,14,3,0, draw,3.448736, perceptual,1,0.914968, semantic_animated,1,1.105276,34,0.911765, , , , ,688.678234,699.987977,703.442072,706.937852,707.858026,708.371408,709.482021,1, 
VN, retrieval,3,0,3,24,19, dolphin,3,1,4, laundry,19,3,0, glide,20.168876, perceptual,1,2.389293, semantic_animated,1,0.570354,34,0.911765, , , , ,688.678234,710.787833,730.9619,734.455275,736.849845,737.354224,737.929805,1, 
VN, retrieval,3,0,4,24,20, scorpion,13,2,1, candy_shop,4,3,0, swing,4.917165, perceptual,1,0.63656, semantic_animated,1,0.590413,34,0.911765, , , , ,688.678234,738.887434,743.8102,747.304039,747.945828,748.454061,749.049783,1, 
VN, retrieval,3,0,5,24,21, hairdryer,6,2,6, cool_room,8,4,0, balance,10.622632, semantic_animated,1,1.385954, perceptual,1,0.502132,34,0.911765, , , , ,688.678234,749.853941,760.481823,763.970585,765.361793,765.870354,766.377776,1, 
VN, retrieval,3,0,6,24,22, tomato,16,1,7, home_office_2,15,4,0, browse,17.796113, semantic_animated,1,1.336475, perceptual,0,0.798373,34,0.911765, , , , ,688.678234,767.320293,785.121694,788.619941,789.961657,790.470034,791.273667,1, 
VN, retrieval,3,0,7,24,23, seahorse,10,1,4, torcal,29,1,0, join,2.267838, semantic_animated,1,1.533228, perceptual,1,0.739164,34,0.911765, , , , ,688.678234,792.736574,795.009647,798.503137,800.041668,800.553212,801.297688,1, 
VN, retrieval,3,0,8,24,24, gloves,6,2,8, swimming_pool,31,3,0, grind,2.886014, perceptual,1,1.67062, semantic_animated,1,0.815389,34,0.911765, , , , ,688.678234,802.486364,805.377606,808.869779,810.545569,811.052959,811.873851,1, 
VN, encoding,4,1,0,25,24, turkey,15,2,2, ,0,0,5.321553, drill,0, NO,2,0, NO,2,0,0,0,817.115735,820.752855,823.602739,828.929549, , , , , , , , , 
VN, encoding,4,2,0,26,24, pullover,10,2,8, ,0,0,4.708033, bounce,0, NO,2,0, NO,2,0,0,0,817.115735,830.386287,833.272224,837.985556, , , , , , , , , 
VN, encoding,4,3,0,27,24, elephant,6,1,3, ,0,0,6.648234, harm,0, NO,2,0, NO,2,0,0,0,817.115735,839.019204,842.388017,849.041515, , , , , , , , , 
VN, encoding,4,4,0,28,24, glasses,5,1,8, ,0,0,6.912576, smooth,0, NO,2,0, NO,2,0,0,0,817.115735,850.60239,854.035659,860.953482, , , , , , , , , 
VN, encoding,4,5,0,29,24, radio02,13,2,6, ,0,0,5.654208, chain,0, NO,2,0, NO,2,0,0,0,817.115735,862.485565,865.053964,870.713459, , , , , , , , , 
VN, encoding,4,6,0,30,24, corn,6,2,7, ,0,0,5.694976, hide,0, NO,2,0, NO,2,0,0,0,817.115735,872.136665,874.685328,880.385403, , , , , , , , , 
VN, encoding,4,7,0,31,24, microphone,10,1,6, ,0,0,0, locate,0, NO,2,0, NO,2,0,0,0,817.115735,881.8519,884.468566,880.385403, , , , , , , , , 
VN, encoding,4,8,0,32,24, hat,7,1,8, ,0,0,3.567572, walk,0, NO,2,0, NO,2,0,0,0,817.115735,892.101703,894.668484,898.241342, , , , , , , , , 
VN, retrieval,4,0,1,32,25, hat,7,1,8, highland,15,1,0, walk,11.939681, perceptual,1,1.386449, semantic_animated,1,0.734197,36,0.805556, , , , ,943.085457,945.584179,957.529198,961.017614,962.409257,962.917661,963.657292,1, 
VN, retrieval,4,0,2,32,26, turkey,15,2,2, kitchen_2,22,4,0, drill,1.847391, perceptual,1,1.345287, semantic_animated,1,0.51857,36,0.805556, , , , ,943.085457,965.300624,967.153177,970.65059,972.001151,972.517245,973.041115,1, 
VN, retrieval,4,0,3,32,27, pullover,10,2,8, olives,22,1,0, bounce,2.650661, semantic_animated,1,1.75676, perceptual,1,0.754005,36,0.805556, , , , ,943.085457,974.217165,976.873083,980.367027,982.129083,982.633826,983.393084,1, 
VN, retrieval,4,0,4,32,28, glasses,5,1,8, living_room_2,24,4,0, smooth,2.319412, semantic_animated,1,1.318821, perceptual,1,1.477513,36,0.805556, , , , ,943.085457,984.500359,986.825026,990.31697,991.641026,992.150392,993.633047,1, 
VN, retrieval,4,0,5,32,29, elephant,6,1,3, budapest,5,2,0, harm,1.518896, semantic_animated,1,1.430307, perceptual,1,0.568308,36,0.805556, , , , ,943.085457,995.116856,996.640992,1000.133501,1001.569336,1002.083603,1002.65704,1, 
VN, retrieval,4,0,6,32,30, radio02,13,2,6, fall,11,1,0, chain,1.931323, perceptual,1,2.353643, semantic_animated,1,0.53518,36,0.805556, , , , ,943.085457,1003.616408,1005.552937,1009.050053,1011.408962,1011.916516,1012.456943,1, 
VN, retrieval,4,0,7,32,31, corn,6,2,7, strange_field,27,1,0, hide,1.991788, perceptual,1,1.300322, semantic_animated,1,0.604092,36,0.805556, , , , ,943.085457,1013.299888,1015.296928,1018.783403,1020.088935,1020.599765,1021.208938,1, 
VN, retrieval,4,0,8,32,32, microphone,10,1,6, parlamento_europeo,25,3,0, locate,2.179936, perceptual,1,0.647728, semantic_animated,1,0.609218,36,0.805556, , , , ,943.085457,1022.415819,1024.600885,1028.099885,1028.752902,1029.266402,1029.88089,1, 
VN, encoding,5,1,0,33,32, bull,4,2,3, ,0,0,4.740048, press,0, NO,2,0, NO,2,0,0,0,1036.50727,1139.597902,1143.031217,1147.776598, , , , , , , , , 
VN, encoding,5,2,0,34,32, shrimp,14,2,4, ,0,0,0, decorate,0, NO,2,0, NO,2,0,0,0,1036.50727,1148.49782,1151.814429,1147.776598, , , , , , , , , 
VN, encoding,5,3,0,35,32, swordfish,16,2,4, ,0,0,4.395085, inject,0, NO,2,0, NO,2,0,0,0,1036.50727,1159.614307,1162.464244,1166.86447, , , , , , , , , 
VN, encoding,5,4,0,36,32, rhinoceros,13,2,3, ,0,0,3.413987, trap,0, NO,2,0, NO,2,0,0,0,1036.50727,1168.014076,1170.597481,1174.016544, , , , , , , , , 
VN, encoding,5,5,0,37,32, worm,16,1,1, ,0,0,4.970517, agitate,0, NO,2,0, NO,2,0,0,0,1036.50727,1174.684175,1178.08064,1183.05643, , , , , , , , , 
VN, encoding,5,6,0,38,32, butterfly,4,2,1, ,0,0,3.412065, fold,0, NO,2,0, NO,2,0,0,0,1036.50727,1184.467309,1187.847176,1191.264472, , , , , , , , , 
VN, encoding,5,7,0,39,32, handmixer,7,2,6, ,0,0,5.328009, spread,0, NO,2,0, NO,2,0,0,0,1036.50727,1192.047163,1195.547094,1200.880366, , , , , , , , , 
VN, encoding,5,8,0,40,32, pineapple,13,2,5, ,0,0,4.001421, volley,0, NO,2,0, NO,2,0,0,0,1036.50727,1201.547004,1204.513643,1208.520393, , , , , , , , , 
VN, retrieval,5,0,1,40,33, shrimp,14,2,4, library,20,3,0, decorate,5.304738, semantic_animated,1,1.592425, perceptual,0,0.738726,35,0.914286, , , , ,1291.846652,1294.562097,1299.87202,1303.362368,1304.960101,1305.480208,1306.224152,1, 
